 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.570408118175479E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88068E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 5.56E-12 8.98E-08 3.05E-12 6.13E-12 1.09E-14 3.74E-11 6.71E-13 1.61E-15 2.00E-17 1.13E-22 4.84E-10 5.54E-14
  3.50E+05 4.90E-12 8.98E-08 3.82E-12 7.03E-12 1.35E-14 4.82E-11 1.79E-12 1.79E-15 4.68E-17 3.03E-22 4.77E-10 5.96E-14
  7.50E+05 2.78E-12 8.95E-08 4.77E-12 5.62E-12 1.20E-14 6.40E-11 2.40E-11 1.36E-15 3.73E-16 4.89E-20 4.52E-10 1.35E-13
  1.15E+06 8.63E-13 8.88E-08 8.02E-12 4.97E-12 1.68E-14 6.90E-11 3.14E-11 1.44E-15 3.36E-15 1.93E-17 4.44E-10 2.17E-13
  1.55E+06 1.44E-12 7.88E-08 1.30E-11 2.49E-11 2.26E-14 2.38E-10 3.60E-11 2.94E-14 1.67E-13 6.86E-15 3.70E-10 2.64E-12
  1.95E+06 2.70E-12 5.14E-08 2.97E-11 9.89E-11 5.48E-14 5.62E-10 7.89E-11 2.00E-13 1.73E-12 6.55E-14 2.20E-10 2.12E-11
  2.35E+06 3.60E-12 2.51E-08 8.82E-11 2.45E-10 2.09E-13 6.91E-10 9.01E-11 3.85E-13 2.45E-12 1.08E-13 1.04E-10 7.29E-11
  2.75E+06 5.37E-12 9.82E-09 2.22E-10 3.50E-10 7.15E-13 5.79E-10 3.68E-11 3.83E-13 8.56E-13 8.96E-14 4.10E-11 1.33E-10
  3.15E+06 7.86E-12 3.33E-09 4.19E-10 2.51E-10 1.77E-12 2.99E-10 4.81E-12 2.20E-13 8.62E-14 4.42E-14 1.25E-11 1.16E-10
  3.55E+06 1.08E-11 1.09E-09 5.29E-10 8.19E-11 1.71E-12 5.33E-11 3.17E-13 5.64E-14 1.90E-15 4.73E-15 3.16E-12 4.12E-11
  3.95E+06 9.94E-12 3.84E-10 4.01E-10 1.76E-11 7.45E-13 5.67E-12 2.72E-14 9.26E-15 2.61E-17 5.99E-16 9.96E-13 1.60E-11
  4.35E+06 7.05E-12 1.56E-10 2.71E-10 4.45E-12 2.89E-13 7.72E-13 3.59E-15 1.59E-15 5.24E-19 7.66E-17 4.75E-13 7.79E-12
  4.75E+06 4.51E-12 7.28E-11 2.02E-10 1.98E-12 1.21E-13 1.85E-13 8.81E-16 3.92E-16 2.46E-20 6.17E-18 2.97E-13 3.75E-12
  5.15E+06 2.43E-12 3.71E-11 1.75E-10 1.72E-12 6.35E-14 9.52E-14 4.56E-16 1.62E-16 3.46E-21 3.08E-19 2.14E-13 1.74E-12
  5.55E+06 1.17E-12 1.96E-11 1.68E-10 2.41E-12 4.25E-14 8.89E-14 4.11E-16 1.02E-16 1.08E-21 9.29E-21 1.70E-13 7.69E-13
