 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000000E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25802E-01  ERR= 2.35764E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 6.03E-11 2.63E-07 1.89E-12 3.41E-11 3.98E-13 9.54E-10 8.04E-11 2.71E-13 1.86E-14 5.33E-20 2.86E-10 2.03E-11
  3.50E+05 5.09E-11 2.47E-07 2.73E-12 3.68E-11 5.15E-13 9.37E-10 1.48E-10 2.93E-13 3.97E-14 3.57E-19 2.26E-10 2.89E-11
  7.50E+05 2.23E-11 1.88E-07 1.07E-11 4.87E-11 1.46E-12 7.76E-10 2.41E-10 4.32E-13 8.32E-13 2.84E-16 1.16E-10 7.16E-11
  1.15E+06 7.95E-13 1.32E-07 1.58E-10 1.40E-10 8.47E-12 6.86E-10 4.61E-11 3.44E-13 3.64E-12 1.02E-14 8.46E-11 4.82E-12
  1.55E+06 2.86E-12 1.76E-08 1.45E-10 7.74E-11 2.00E-11 5.87E-10 1.04E-11 6.17E-13 1.14E-12 5.56E-14 1.02E-11 3.59E-11
  1.95E+06 2.15E-12 6.02E-10 6.18E-11 3.11E-11 8.57E-12 2.23E-10 2.33E-12 3.56E-13 1.15E-13 7.35E-14 1.07E-13 9.46E-11
  2.35E+06 6.20E-13 2.75E-11 3.58E-11 1.17E-11 3.25E-12 6.34E-11 4.61E-13 9.69E-14 5.48E-15 2.08E-14 9.82E-16 8.26E-11
  2.75E+06 1.83E-13 2.41E-12 2.50E-11 4.72E-12 1.25E-12 1.70E-11 9.47E-14 2.27E-14 2.33E-16 1.74E-15 2.24E-17 3.66E-11
  3.15E+06 7.07E-14 3.45E-13 1.84E-11 2.34E-12 4.52E-13 4.90E-12 2.40E-14 5.57E-15 1.20E-17 7.66E-17 1.33E-18 1.16E-11
  3.55E+06 3.38E-14 6.69E-14 1.47E-11 1.35E-12 1.65E-13 1.48E-12 6.85E-15 1.40E-15 7.05E-19 3.23E-18 1.71E-19 3.47E-12
  3.95E+06 1.61E-14 1.58E-14 1.28E-11 8.57E-13 6.43E-14 4.61E-13 2.08E-15 3.66E-16 4.57E-20 1.67E-19 4.00E-20 1.13E-12
  4.35E+06 5.50E-15 3.85E-15 1.15E-11 6.13E-13 2.98E-14 1.77E-13 7.46E-16 1.33E-16 4.54E-21 1.31E-20 1.39E-20 5.22E-13
  4.75E+06 1.33E-15 9.46E-16 1.06E-11 3.21E-13 1.43E-14 5.00E-14 1.70E-16 3.75E-17 2.45E-22 1.61E-21 6.51E-21 2.63E-13
  5.15E+06 2.51E-16 2.69E-16 9.45E-12 8.24E-14 4.47E-15 5.07E-15 1.66E-17 3.47E-18 2.13E-24 8.02E-23 4.11E-21 5.97E-14
  5.55E+06 2.68E-17 9.27E-17 7.95E-12 7.79E-15 5.72E-16 1.09E-16 3.90E-19 2.52E-19 5.20E-27 3.42E-25 3.29E-21 1.85E-15
  5.95E+06 1.89E-18 3.63E-17 6.17E-12 2.25E-16 9.01E-18 4.19E-19 4.33E-22 1.87E-20 3.83E-30 1.45E-27 2.89E-21 7.47E-19
  6.35E+06 9.74E-19 4.53E-17 4.53E-12 1.05E-16 4.18E-19 3.90E-21 3.89E-24 5.08E-21 1.25E-31 1.73E-28 2.66E-21 5.98E-21
  6.75E+06 8.68E-19 6.35E-17 3.32E-12 4.33E-17 2.97E-20 1.25E-22 9.64E-26 1.14E-21 3.73E-33 1.46E-29 2.50E-21 2.41E-22
  7.15E+06 8.51E-19 8.11E-17 2.50E-12 1.78E-17 2.09E-21 6.35E-24 3.31E-27 2.52E-22 1.11E-34 7.42E-31 2.40E-21 1.53E-23
  7.55E+06 8.45E-19 8.88E-17 1.90E-12 7.33E-18 1.34E-22 3.53E-25 1.27E-28 5.57E-23 3.20E-36 2.51E-32 2.31E-21 1.09E-24
  7.95E+06 8.37E-19 8.57E-17 1.41E-12 2.95E-18 7.74E-24 1.70E-26 4.63E-30 1.20E-23 8.31E-38 6.09E-34 2.22E-21 7.52E-26
  8.35E+06 8.23E-19 7.67E-17 1.04E-12 1.17E-18 4.52E-25 7.63E-28 1.72E-31 2.53E-24 2.07E-39 1.15E-35 2.12E-21 5.05E-27
  8.75E+06 8.00E-19 6.65E-17 7.60E-13 4.62E-19 3.42E-26 3.42E-29 6.50E-33 5.25E-25 5.06E-41 1.82E-37 2.00E-21 3.30E-28
  9.15E+06 7.61E-19 5.72E-17 5.64E-13 1.84E-19 4.31E-27 1.67E-30 2.53E-34 1.08E-25 1.23E-42 2.54E-39 1.85E-21 2.06E-29
  9.55E+06 7.00E-19 4.92E-17 4.38E-13 7.64E-20 8.49E-28 1.00E-31 1.02E-35 2.25E-26 3.14E-44 3.15E-41 1.65E-21 1.18E-30
  9.95E+06 6.12E-19 4.24E-17 3.82E-13 3.53E-20 2.23E-28 1.08E-32 5.14E-37 5.07E-27 1.06E-45 3.40E-43 1.41E-21 5.90E-32
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 1.19E-15 5.60E-14 1.46E-10 9.64E-13 2.10E-04 8.34E-14 3.14E-17 1.24E-16 2.66E-12 5.77E-12 5.25E-15 4.00E-04
  1.50E+05 1.65E-15 9.11E-14 1.76E-10 1.68E-12 2.14E-04 8.39E-14 2.73E-17 2.04E-16 3.46E-12 8.61E-12 6.17E-15 4.05E-04
  2.50E+05 2.19E-15 1.70E-13 1.95E-10 3.12E-12 2.19E-04 8.69E-14 2.32E-17 3.12E-16 4.09E-12 1.07E-11 7.13E-15 4.09E-04
  3.50E+05 2.68E-15 3.17E-13 2.02E-10 5.44E-12 2.23E-04 9.61E-14 2.00E-17 4.90E-16 4.85E-12 1.24E-11 8.42E-15 4.13E-04
  7.50E+05 4.55E-15 2.48E-12 1.64E-10 2.87E-11 2.36E-04 1.59E-13 1.36E-17 2.71E-15 9.18E-12 1.94E-11 1.24E-14 4.28E-04
  1.15E+06 1.00E-14 2.67E-12 2.31E-10 4.36E-11 2.39E-04 4.21E-16 1.78E-20 6.59E-16 6.63E-13 1.69E-12 1.45E-17 4.31E-04
  1.55E+06 1.44E-13 1.29E-11 2.88E-10 1.96E-11 2.38E-04 7.86E-26 5.12E-29 1.27E-21 3.62E-19 1.95E-17 3.35E-27 4.31E-04
  1.95E+06 1.07E-12 2.84E-11 2.38E-10 4.24E-12 2.37E-04 6.95E-30 1.23E-30 1.97E-23 3.76E-21 7.21E-19 1.37E-29 4.32E-04
  2.35E+06 3.33E-12 2.80E-11 2.52E-10 4.32E-13 2.37E-04 4.57E-29 9.81E-30 3.19E-23 5.28E-21 7.19E-19 2.74E-29 4.32E-04
  2.75E+06 5.62E-12 1.50E-11 3.09E-10 2.73E-14 2.37E-04 1.81E-28 4.58E-29 5.87E-23 8.50E-21 7.15E-19 5.07E-29 4.32E-04
  3.15E+06 6.94E-12 5.83E-12 3.42E-10 1.58E-15 2.37E-04 5.94E-28 1.70E-28 1.25E-22 1.51E-20 7.08E-19 1.16E-28 4.32E-04
  3.55E+06 7.72E-12 2.22E-12 3.53E-10 1.04E-16 2.37E-04 1.66E-27 5.40E-28 3.01E-22 2.93E-20 6.92E-19 3.43E-28 4.31E-04
  3.95E+06 8.35E-12 9.40E-13 3.56E-10 8.23E-18 2.37E-04 4.21E-27 1.58E-27 7.57E-22 5.87E-20 6.61E-19 1.16E-27 4.31E-04
  4.35E+06 8.98E-12 4.89E-13 3.56E-10 8.97E-19 2.38E-04 1.16E-26 4.77E-27 1.47E-21 1.04E-19 6.13E-19 3.64E-27 4.31E-04
  4.75E+06 1.11E-11 3.18E-13 3.55E-10 8.89E-20 2.38E-04 2.04E-26 1.07E-26 2.81E-21 1.82E-19 5.32E-19 1.00E-26 4.30E-04
  5.15E+06 1.29E-11 1.32E-13 3.53E-10 2.83E-21 2.39E-04 2.15E-26 1.68E-26 8.13E-21 3.23E-19 3.84E-19 2.95E-26 4.29E-04
  5.55E+06 1.35E-11 1.59E-14 3.52E-10 1.02E-23 2.42E-04 7.99E-27 1.71E-26 4.03E-20 4.38E-19 2.35E-19 7.48E-26 4.23E-04
  5.95E+06 2.55E-11 1.93E-15 3.40E-10 2.45E-27 2.45E-04 1.55E-29 4.59E-28 2.61E-19 3.01E-19 1.48E-19 2.85E-26 4.11E-04
