 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.028627576680302E-008
 Standard CH3CL flux =  0.000E+00

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.879E+02
 N= 4     X= 1.56520E-01  ERR= 4.16746E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  9.95E+06 2.26E-19 4.37E-03 5.53E-11 3.16E-15 9.35E-17 1.14E-23 3.30E-11 1.96E-07 7.72E-07 3.47E-17 7.12E-05 2.14E-29
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 2.19E-12 9.90E-10 1.51E-14 1.08E-13 9.01E-15 6.84E-12 1.01E-14 9.94E-15 7.93E-19 3.49E-16 5.00E-10 4.98E-10
  1.50E+05 1.92E-12 9.50E-10 2.34E-14 1.73E-13 1.53E-14 1.03E-11 2.60E-14 1.77E-14 3.64E-18 1.57E-15 1.95E-10 5.35E-10
  2.50E+05 1.49E-12 9.11E-10 3.63E-14 2.73E-13 2.26E-14 1.47E-11 6.78E-14 2.74E-14 1.50E-17 4.94E-15 7.40E-11 5.26E-10
  3.50E+05 1.08E-12 8.73E-10 4.98E-14 3.95E-13 2.69E-14 1.88E-11 1.45E-13 3.98E-14 5.76E-17 1.61E-14 2.96E-11 5.30E-10
  7.50E+05 1.56E-13 7.32E-10 6.14E-14 7.28E-13 1.40E-14 1.98E-11 3.42E-13 1.55E-13 4.07E-15 1.49E-12 3.41E-12 6.60E-10
  1.15E+06 8.62E-13 5.83E-10 1.27E-13 1.66E-12 2.35E-15 5.61E-12 1.97E-13 3.00E-13 3.49E-14 1.08E-10 1.09E-12 9.75E-11
  1.55E+06 3.23E-14 1.65E-10 2.49E-13 2.36E-12 4.92E-15 6.74E-12 2.60E-13 3.09E-13 2.35E-14 7.62E-11 2.11E-13 2.72E-10
  1.95E+06 1.43E-14 2.76E-11 1.08E-12 5.42E-12 1.63E-14 9.81E-12 3.26E-13 2.34E-13 1.60E-14 2.39E-11 2.40E-14 3.20E-10
  2.35E+06 8.51E-15 8.81E-12 3.27E-12 7.39E-12 3.39E-14 8.89E-12 2.14E-13 8.64E-14 3.37E-15 5.37E-12 2.12E-15 2.72E-10
  2.75E+06 4.27E-15 3.85E-12 6.03E-12 5.08E-12 4.66E-14 4.71E-12 6.58E-14 1.48E-14 1.70E-16 8.45E-13 2.04E-16 1.78E-10
  3.15E+06 1.96E-15 1.89E-12 7.47E-12 1.89E-12 4.10E-14 1.30E-12 1.03E-14 1.81E-15 3.23E-18 8.95E-14 2.40E-17 8.73E-11
  3.55E+06 8.43E-16 9.38E-13 7.12E-12 4.27E-13 2.28E-14 1.79E-13 1.07E-15 2.26E-16 3.64E-20 4.65E-15 4.25E-18 3.06E-11
  3.95E+06 2.98E-16 4.13E-13 6.37E-12 1.40E-13 1.13E-14 3.30E-14 1.86E-16 4.17E-17 8.55E-22 1.36E-16 1.28E-18 9.39E-12
  4.35E+06 7.53E-17 1.65E-13 5.93E-12 1.14E-13 6.27E-15 1.60E-14 9.09E-17 1.62E-17 1.02E-22 3.11E-18 5.68E-19 3.10E-12
  4.75E+06 1.67E-17 6.44E-14 5.67E-12 1.07E-13 3.17E-15 8.01E-15 4.82E-17 7.42E-18 1.60E-23 7.36E-20 3.30E-19 9.28E-13
  5.15E+06 3.64E-18 2.29E-14 5.44E-12 7.48E-14 1.31E-15 2.46E-15 1.59E-17 2.63E-18 1.36E-24 2.12E-21 2.31E-19 2.36E-13
  5.55E+06 8.27E-19 6.86E-15 5.20E-12 3.24E-14 4.29E-16 3.92E-16 2.57E-18 7.01E-19 5.25E-26 7.01E-23 1.86E-19 4.66E-14
  5.95E+06 1.42E-19 1.44E-15 4.88E-12 6.50E-15 1.08E-16 2.49E-17 1.38E-19 1.41E-19 7.21E-28 2.40E-24 1.62E-19 5.74E-15
  6.35E+06 2.34E-20 3.21E-16 4.50E-12 1.11E-16 2.80E-18 1.80E-19 1.08E-22 5.14E-21 2.67E-31 4.54E-25 1.48E-19 7.31E-18
  6.75E+06 1.42E-20 3.35E-16 4.11E-12 5.49E-17 2.37E-19 2.89E-21 6.88E-25 1.43E-21 5.73E-33 4.75E-26 1.39E-19 6.66E-20
  7.15E+06 1.30E-20 3.73E-16 3.78E-12 2.74E-17 2.21E-20 1.07E-22 1.97E-26 3.88E-22 2.47E-34 2.58E-27 1.33E-19 2.15E-21
  7.55E+06 1.27E-20 4.24E-16 3.48E-12 1.36E-17 1.87E-21 5.58E-24 7.62E-28 1.04E-22 1.02E-35 9.61E-29 1.28E-19 9.88E-23
  7.95E+06 1.26E-20 5.05E-16 3.16E-12 6.68E-18 1.41E-22 2.77E-25 2.97E-29 2.76E-23 3.95E-37 2.68E-30 1.23E-19 4.72E-24
  8.35E+06 1.24E-20 5.72E-16 2.84E-12 3.24E-18 9.52E-24 1.31E-26 1.20E-30 7.24E-24 1.49E-38 5.67E-32 1.17E-19 2.34E-25
  8.75E+06 1.20E-20 5.86E-16 2.53E-12 1.56E-18 5.96E-25 5.99E-28 5.06E-32 1.88E-24 5.50E-40 9.55E-34 1.10E-19 1.22E-26
  9.15E+06 1.14E-20 5.52E-16 2.24E-12 7.47E-19 3.83E-26 2.78E-29 2.21E-33 4.83E-25 2.01E-41 1.35E-35 1.02E-19 6.51E-28
  9.55E+06 1.05E-20 4.94E-16 2.01E-12 3.62E-19 3.23E-27 1.39E-30 9.95E-35 1.25E-25 7.47E-43 1.67E-37 9.12E-20 3.43E-29
  9.95E+06 9.18E-21 4.30E-16 1.88E-12 1.83E-19 4.92E-28 1.09E-31 5.41E-36 3.36E-26 3.36E-44 1.82E-39 7.75E-20 1.64E-30
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 3.66E-13 2.54E-11 3.12E-10 8.02E-13 2.10E-03 2.82E-14 8.52E-17 1.15E-17 1.18E-12 6.08E-12 1.96E-15 4.00E-04
  1.50E+05 8.18E-13 4.00E-11 3.89E-10 1.32E-12 2.10E-03 2.83E-14 1.44E-16 1.71E-17 1.24E-12 8.89E-12 1.82E-15 4.05E-04
  2.50E+05 1.25E-12 5.19E-11 4.09E-10 2.02E-12 2.11E-03 3.20E-14 2.04E-16 2.65E-17 1.40E-12 1.09E-11 2.00E-15 4.09E-04
  3.50E+05 1.47E-12 6.73E-11 3.77E-10 3.23E-12 2.11E-03 3.83E-14 2.41E-16 4.39E-17 1.72E-12 1.26E-11 2.50E-15 4.13E-04
  7.50E+05 3.64E-13 1.81E-10 7.43E-11 1.78E-11 2.13E-03 1.04E-13 8.73E-17 4.84E-16 5.68E-12 1.99E-11 9.91E-15 4.27E-04
  1.15E+06 1.48E-12 2.94E-10 2.82E-10 3.30E-11 2.13E-03 1.20E-15 7.97E-19 1.20E-15 1.98E-12 1.63E-12 3.27E-16 4.30E-04
  1.55E+06 2.20E-13 4.37E-10 3.37E-11 2.96E-11 2.13E-03 1.54E-23 1.71E-27 2.72E-19 2.38E-16 1.98E-16 1.67E-24 4.30E-04
  1.95E+06 5.15E-13 4.75E-10 6.51E-11 1.67E-11 2.13E-03 8.39E-31 2.05E-31 6.48E-22 2.38E-19 1.05E-17 4.22E-29 4.30E-04
  2.35E+06 1.93E-12 4.34E-10 2.01E-10 5.08E-12 2.13E-03 6.14E-30 1.87E-30 2.09E-21 3.54E-19 1.04E-17 8.45E-29 4.30E-04
  2.75E+06 5.73E-12 3.25E-10 4.13E-10 6.91E-13 2.13E-03 2.48E-29 9.75E-30 4.87E-21 4.60E-19 1.03E-17 1.34E-28 4.30E-04
  3.15E+06 1.31E-11 1.98E-10 6.25E-10 4.29E-14 2.13E-03 5.77E-29 3.08E-29 9.72E-21 6.11E-19 1.01E-17 2.32E-28 4.30E-04
  3.55E+06 2.02E-11 8.43E-11 7.89E-10 1.19E-15 2.13E-03 1.22E-28 7.83E-29 2.13E-20 9.78E-19 9.71E-18 6.61E-28 4.30E-04
  3.95E+06 2.30E-11 2.68E-11 8.64E-10 3.67E-17 2.13E-03 3.88E-28 2.60E-28 4.46E-20 1.63E-18 9.01E-18 2.41E-27 4.30E-04
  4.35E+06 2.29E-11 7.55E-12 8.90E-10 2.51E-18 2.13E-03 1.95E-27 1.19E-27 7.47E-20 2.57E-18 8.03E-18 8.53E-27 4.29E-04
  4.75E+06 2.22E-11 2.16E-12 8.98E-10 2.00E-19 2.13E-03 7.34E-27 4.38E-27 1.29E-19 3.97E-18 6.54E-18 2.80E-26 4.29E-04
  5.15E+06 2.23E-11 6.81E-13 8.99E-10 1.29E-20 2.13E-03 1.47E-26 1.01E-26 2.42E-19 5.65E-18 4.72E-18 7.91E-26 4.27E-04
  5.55E+06 2.45E-11 2.30E-13 8.97E-10 5.56E-22 2.13E-03 1.47E-26 1.51E-26 4.89E-19 6.92E-18 3.17E-18 1.77E-25 4.25E-04
  5.95E+06 3.46E-11 7.90E-14 8.87E-10 1.10E-23 2.13E-03 7.24E-27 1.78E-26 1.11E-18 7.30E-18 2.14E-18 3.12E-25 4.21E-04
  6.35E+06 1.66E-10 6.39E-14 7.54E-10 7.60E-27 2.12E-03 1.25E-29 1.44E-28 4.25E-18 4.71E-18 1.55E-18 4.73E-26 4.16E-04
  6.75E+06 3.21E-10 3.82E-14 5.99E-10 1.86E-28 2.08E-03 5.22E-33 3.02E-30 3.95E-18 5.29E-18 1.22E-18 4.84E-27 4.11E-04
  7.15E+06 4.29E-10 1.64E-14 4.89E-10 7.82E-30 1.97E-03 1.00E-35 3.23E-31 4.63E-18 4.76E-18 1.02E-18 1.25E-27 4.06E-04
  7.55E+06 5.08E-10 5.86E-15 4.08E-10 3.71E-31 1.81E-03 2.08E-37 6.29E-32 5.91E-18 3.56E-18 8.69E-19 4.51E-28 4.00E-04
  7.95E+06 5.75E-10 1.81E-15 3.39E-10 1.72E-32 1.57E-03 7.37E-39 1.50E-32 7.22E-18 2.25E-18 7.29E-19 1.75E-28 3.91E-04
  8.35E+06 6.26E-10 4.86E-16 2.82E-10 7.77E-34 1.26E-03 3.72E-40 4.33E-33 8.20E-18 1.18E-18 6.00E-19 7.10E-29 3.78E-04
  8.75E+06 6.61E-10 1.16E-16 2.36E-10 3.49E-35 9.44E-04 2.59E-41 1.52E-33 8.64E-18 5.19E-19 4.79E-19 2.98E-29 3.60E-04
  9.15E+06 6.78E-10 2.55E-17 2.01E-10 1.55E-36 6.75E-04 2.32E-42 6.36E-34 8.53E-18 1.96E-19 3.62E-19 1.27E-29 3.36E-04
  9.55E+06 6.76E-10 5.22E-18 1.74E-10 6.72E-38 4.67E-04 2.39E-43 2.98E-34 7.94E-18 6.74E-20 2.51E-19 5.32E-30 3.04E-04
  9.95E+06 6.49E-10 9.91E-19 1.57E-10 2.88E-39 3.09E-04 3.00E-44 1.45E-34 6.92E-18 2.49E-20 1.52E-19 2.09E-30 2.64E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.26E-10
  1.50E+05 1.48E-10
  2.50E+05 1.96E-10
  3.50E+05 2.53E-10
  7.50E+05 4.92E-10
  1.15E+06 5.68E-10
  1.55E+06 4.85E-10
  1.95E+06 3.14E-10
  2.35E+06 2.05E-10
  2.75E+06 1.40E-10
  3.15E+06 8.80E-11
  3.55E+06 4.84E-11
  3.95E+06 2.32E-11
  4.35E+06 9.40E-12
  4.75E+06 3.11E-12
  5.15E+06 7.60E-13
  5.55E+06 1.34E-13
  5.95E+06 1.57E-14
  6.35E+06 1.13E-15
  6.75E+06 4.12E-17
  7.15E+06 5.91E-19
  7.55E+06 6.23E-22
  7.95E+06 1.88E-27
  8.35E+06 1.13E-37
  8.75E+06 1.37E-56
  9.15E+06 1.43E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 6.11E-11 0.00E+00 6.95E-13 0.00E+00 4.40E-11 2.30E-04 2.65E-04 8.88E-06 1.87E-05 1.87E-05 4.38E-05
   3.50E+05 7.67E-11 0.00E+00 1.63E-12 0.00E+00 1.07E-10 2.57E-04 3.50E-04 1.11E-05 2.39E-05 2.29E-05 5.09E-05
   6.50E+05 9.52E-11 0.00E+00 3.42E-12 0.00E+00 2.42E-10 2.78E-04 4.04E-04 1.28E-05 2.75E-05 2.60E-05 5.81E-05
   9.50E+05 1.22E-10 1.59-192 6.55E-12 7.61-192 5.08E-10 2.99E-04 4.58E-04 1.47E-05 3.05E-05 2.86E-05 6.94E-05
   1.25E+06 1.50E-10 1.93-114 1.15E-11 9.28-114 9.88E-10 3.19E-04 5.03E-04 1.62E-05 3.31E-05 3.10E-05 7.79E-05
   1.55E+06 1.97E-10 2.72E-75 1.92E-11 1.31E-74 1.85E-09 3.41E-04 6.28E-04 1.89E-05 3.57E-05 3.32E-05 9.80E-05
   1.85E+06 2.86E-10 6.84E-51 3.15E-11 3.28E-50 3.51E-09 3.99E-04 1.08E-03 2.53E-05 3.89E-05 3.55E-05 1.46E-04
   2.15E+06 3.85E-10 1.16E-35 4.86E-11 5.59E-35 6.64E-09 4.76E-04 1.74E-03 3.26E-05 4.18E-05 3.75E-05 1.94E-04
   2.45E+06 4.84E-10 4.08E-26 7.24E-11 1.96E-25 1.28E-08 5.44E-04 2.32E-03 3.85E-05 4.40E-05 3.90E-05 2.30E-04
   2.75E+06 5.93E-10 4.13E-20 1.06E-10 1.98E-19 2.45E-08 5.99E-04 2.79E-03 4.30E-05 4.55E-05 4.00E-05 2.55E-04
   3.05E+06 7.23E-10 2.59E-16 1.50E-10 1.24E-15 4.36E-08 6.40E-04 3.15E-03 4.63E-05 4.66E-05 4.08E-05 2.72E-04
   3.35E+06 8.89E-10 6.78E-14 2.05E-10 3.26E-13 7.02E-08 6.71E-04 3.42E-03 4.87E-05 4.73E-05 4.12E-05 2.83E-04
   3.65E+06 1.11E-09 2.42E-12 2.69E-10 1.16E-11 1.07E-07 6.93E-04 3.61E-03 5.03E-05 4.77E-05 4.15E-05 2.91E-04
   3.95E+06 1.38E-09 2.45E-11 3.38E-10 1.18E-10 1.83E-07 7.05E-04 3.72E-03 5.13E-05 4.80E-05 4.17E-05 2.95E-04
