
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.559E+05 2.428E+19 2.792E+05 7.656E+02 2.298E+06 0.000E+00 8.071E-15 2.798E-15 8.008E-06 2.311E-06 1.182E-08 1.127E-02 5.099E+17 9.518E+05 3.101E-03
   1.500E+05 8.495E+05 2.208E+19 2.139E+05 6.471E+02 2.718E+06 0.000E+00 1.195E-14 4.196E-15 8.577E-06 2.500E-06 1.435E-08 6.984E-03 4.639E+17 9.930E+05 4.193E-03
   2.500E+05 7.529E+05 2.004E+19 1.579E+05 5.088E+02 3.278E+06 0.000E+00 1.719E-14 6.114E-15 8.994E-06 2.671E-06 1.819E-08 4.153E-03 4.210E+17 1.029E+06 5.703E-03
   3.500E+05 6.654E+05 1.814E+19 1.036E+05 3.573E+02 3.880E+06 0.000E+00 2.411E-14 8.711E-15 9.202E-06 2.824E-06 2.324E-08 2.261E-03 3.812E+17 1.018E+06 7.550E-03
   4.500E+05 5.865E+05 1.627E+19 7.587E+04 2.820E+02 4.504E+06 0.000E+00 3.310E-14 1.224E-14 9.419E-06 2.963E-06 2.939E-08 1.416E-03 3.419E+17 1.057E+06 9.804E-03
   5.500E+05 5.158E+05 1.461E+19 4.740E+04 1.960E+02 5.073E+06 0.000E+00 4.460E-14 1.715E-14 9.472E-06 3.089E-06 3.665E-08 7.822E-04 3.072E+17 1.026E+06 1.228E-02
   6.500E+05 4.522E+05 1.314E+19 2.470E+04 1.193E+02 5.535E+06 0.000E+00 5.937E-14 2.431E-14 9.368E-06 3.204E-06 4.495E-08 3.733E-04 2.763E+17 9.205E+05 1.480E-02
   7.500E+05 3.951E+05 1.179E+19 1.161E+04 6.936E+01 5.878E+06 0.000E+00 7.865E-14 3.551E-14 9.180E-06 3.311E-06 5.430E-08 1.657E-04 2.479E+17 7.889E+05 1.736E-02
   8.500E+05 3.440E+05 1.055E+19 4.815E+03 3.781E+01 6.096E+06 0.000E+00 1.043E-13 5.392E-14 8.924E-06 3.412E-06 6.476E-08 6.649E-05 2.218E+17 6.862E+05 1.990E-02
   9.500E+05 2.979E+05 9.589E+18 9.186E+02 1.053E+01 6.042E+06 0.000E+00 1.391E-13 8.504E-14 8.193E-06 3.507E-06 7.690E-08 1.291E-05 2.017E+17 6.251E+05 2.122E-02
   1.050E+06 2.557E+05 8.821E+18 6.259E+01 1.113E+00 5.942E+06 0.000E+00 1.883E-13 1.392E-13 7.067E-06 3.601E-06 9.533E-08 9.066E-07 1.855E+17 6.503E+05 2.192E-02
   1.150E+06 2.184E+05 7.533E+18 7.819E+01 1.622E+00 7.373E+06 0.000E+00 2.613E-13 2.360E-13 7.279E-06 3.692E-06 1.345E-07 9.128E-07 1.584E+17 6.190E+05 3.185E-02
   1.250E+06 1.865E+05 6.433E+18 1.156E+02 2.369E+00 1.074E+07 0.000E+00 3.654E-13 3.974E-13 7.512E-06 3.781E-06 2.222E-07 9.269E-07 1.353E+17 5.354E+05 5.431E-02
   1.350E+06 1.593E+05 5.494E+18 1.880E+02 3.505E+00 1.693E+07 0.000E+00 5.189E-13 6.674E-13 7.814E-06 3.871E-06 3.944E-07 9.558E-07 1.155E+17 4.297E+05 1.003E-01
   1.450E+06 1.360E+05 4.692E+18 3.021E+02 5.336E+00 2.586E+07 0.000E+00 7.549E-13 1.131E-12 8.264E-06 3.968E-06 6.670E-07 1.005E-06 9.867E+16 3.718E+05 1.794E-01
   1.550E+06 1.162E+05 4.008E+18 4.579E+02 8.434E+00 3.659E+07 0.000E+00 1.128E-12 1.953E-12 8.973E-06 4.078E-06 1.018E-06 1.077E-06 8.428E+16 3.701E+05 2.971E-01
   1.650E+06 9.939E+04 3.364E+18 6.826E+02 1.360E+01 4.991E+07 2.650-282 1.726E-12 3.447E-12 1.051E-05 4.208E-06 1.412E-06 1.172E-06 7.074E+16 4.162E+05 4.875E-01
   1.750E+06 8.515E+04 2.882E+18 9.550E+02 2.273E+01 6.357E+07 2.177-244 2.654E-12 6.122E-12 1.219E-05 4.365E-06 1.810E-06 1.288E-06 6.060E+16 4.710E+05 7.247E-01
   1.850E+06 7.302E+04 2.442E+18 1.314E+03 3.798E+01 7.913E+07 8.960-212 4.089E-12 1.096E-11 1.495E-05 4.557E-06 2.168E-06 1.420E-06 5.133E+16 5.718E+05 1.072E+00
   1.950E+06 6.269E+04 2.096E+18 1.747E+03 6.354E+01 9.555E+07 5.053-184 6.218E-12 1.939E-11 1.838E-05 4.791E-06 2.480E-06 1.563E-06 4.406E+16 7.113E+05 1.507E+00
   2.050E+06 5.381E+04 1.799E+18 2.274E+03 1.041E+02 1.136E+08 4.243-160 9.314E-12 3.382E-11 2.310E-05 5.078E-06 2.733E-06 1.711E-06 3.783E+16 9.227E+05 2.088E+00
   2.150E+06 4.621E+04 1.539E+18 2.906E+03 1.649E+02 1.334E+08 1.816-139 1.367E-11 5.761E-11 2.965E-05 5.429E-06 2.925E-06 1.861E-06 3.235E+16 1.233E+06 2.873E+00
   2.250E+06 3.972E+04 1.316E+18 3.644E+03 2.515E+02 1.547E+08 9.659-122 1.958E-11 9.503E-11 3.841E-05 5.856E-06 3.061E-06 2.011E-06 2.767E+16 1.667E+06 3.904E+00
   2.350E+06 3.416E+04 1.127E+18 4.484E+03 3.681E+02 1.772E+08 1.665-106 2.735E-11 1.514E-10 5.000E-05 6.375E-06 3.145E-06 2.158E-06 2.369E+16 2.246E+06 5.235E+00
   2.450E+06 2.940E+04 9.655E+17 5.411E+03 5.170E+02 2.003E+08 2.119E-93 3.730E-11 2.326E-10 6.523E-05 7.000E-06 3.180E-06 2.302E-06 2.030E+16 2.989E+06 6.920E+00
   2.550E+06 2.532E+04 8.278E+17 6.398E+03 6.980E+02 2.230E+08 4.034E-82 4.969E-11 3.452E-10 8.510E-05 7.752E-06 3.165E-06 2.443E-06 1.740E+16 3.906E+06 9.006E+00
   2.650E+06 2.182E+04 7.103E+17 7.415E+03 9.079E+02 2.446E+08 2.091E-72 6.479E-11 4.956E-10 1.109E-04 8.649E-06 3.103E-06 2.579E-06 1.493E+16 5.006E+06 1.154E+01
   2.750E+06 1.882E+04 6.099E+17 8.428E+03 1.141E+03 2.643E+08 4.928E-64 8.280E-11 6.902E-10 1.446E-04 9.712E-06 2.998E-06 2.710E-06 1.282E+16 6.302E+06 1.455E+01
   2.850E+06 1.625E+04 5.241E+17 9.420E+03 1.389E+03 2.822E+08 8.181E-57 1.039E-10 9.350E-10 1.887E-04 1.097E-05 2.853E-06 2.834E-06 1.102E+16 7.819E+06 1.812E+01
   2.950E+06 1.403E+04 4.507E+17 1.039E+04 1.645E+03 2.984E+08 1.394E-50 1.283E-10 1.236E-09 2.479E-04 1.244E-05 2.671E-06 2.953E-06 9.474E+15 9.599E+06 2.233E+01
   3.050E+06 1.213E+04 3.878E+17 1.131E+04 1.899E+03 3.131E+08 3.363E-45 1.559E-10 1.599E-09 3.289E-04 1.417E-05 2.454E-06 3.064E-06 8.152E+15 1.168E+07 2.728E+01
   3.150E+06 1.049E+04 3.340E+17 1.214E+04 2.145E+03 3.249E+08 1.512E-40 1.865E-10 2.030E-09 4.408E-04 1.619E-05 2.207E-06 3.165E-06 7.020E+15 1.404E+07 3.295E+01
   3.250E+06 9.078E+03 2.878E+17 1.271E+04 2.378E+03 3.305E+08 1.603E-36 2.195E-10 2.538E-09 5.912E-04 1.849E-05 1.942E-06 3.255E-06 6.049E+15 1.650E+07 3.896E+01
   3.350E+06 7.866E+03 2.467E+17 1.266E+04 2.580E+03 3.207E+08 4.906E-33 2.538E-10 3.136E-09 7.815E-04 2.103E-05 1.664E-06 3.335E-06 5.185E+15 1.858E+07 4.434E+01
   3.450E+06 6.827E+03 2.116E+17 1.209E+04 2.763E+03 2.996E+08 4.943E-30 2.882E-10 3.840E-09 1.002E-03 2.367E-05 1.413E-06 3.401E-06 4.447E+15 2.000E+07 4.856E+01
