 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.134715367694416E-008
 Standard CH3CL flux =  0.000E+00

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35644E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  5.00E+04 1.09E-11 8.26E-15 1.13E-02 3.24E-12 3.46E-11 5.80E-10 3.43E-10 5.63E-17 2.73E-10 1.13E-08 4.33E-09 4.43E-11
  1.50E+05 6.96E-12 1.01E-14 6.98E-03 4.55E-12 2.75E-11 3.04E-10 3.22E-10 5.22E-17 2.64E-10 7.76E-09 1.59E-09 2.43E-11
  2.50E+05 4.18E-12 1.23E-14 4.15E-03 5.50E-12 2.34E-11 1.96E-10 3.12E-10 5.31E-17 2.53E-10 5.22E-09 7.48E-10 1.36E-11
  3.50E+05 2.51E-12 1.61E-14 2.26E-03 6.02E-12 2.05E-11 1.46E-10 3.35E-10 5.31E-17 2.47E-10 3.56E-09 4.43E-10 7.94E-12
  7.50E+05 5.10E-13 9.06E-14 1.66E-04 7.45E-12 1.76E-11 1.03E-10 9.35E-10 7.55E-17 2.85E-10 1.27E-09 5.11E-10 1.23E-12
  1.15E+06 1.90E-13 5.02E-13 9.30E-07 1.54E-12 3.06E-12 8.35E-12 2.83E-09 2.04E-17 5.08E-10 8.57E-10 5.96E-09 8.70E-13
  1.55E+06 5.07E-14 3.54E-12 9.27E-07 3.26E-12 7.17E-12 1.75E-11 5.01E-09 1.59E-16 4.00E-09 2.72E-10 1.24E-08 1.51E-13
  1.95E+06 8.48E-15 1.54E-11 9.14E-07 7.31E-12 1.39E-11 2.83E-11 5.50E-09 1.03E-15 1.67E-08 4.92E-11 1.68E-08 1.93E-14
  2.35E+06 1.74E-15 5.30E-11 8.91E-07 1.90E-11 2.25E-11 3.42E-11 4.93E-09 7.78E-15 3.96E-08 1.06E-11 1.93E-08 2.53E-15
  2.75E+06 5.04E-16 1.55E-10 8.53E-07 4.58E-11 3.62E-11 4.23E-11 3.89E-09 6.40E-14 7.65E-08 3.39E-12 2.34E-08 4.55E-16
  3.15E+06 1.95E-16 3.38E-10 7.91E-07 8.98E-11 6.09E-11 5.89E-11 2.35E-09 4.31E-13 1.37E-07 1.55E-12 3.32E-08 1.27E-16
  3.55E+06 1.19E-16 6.21E-10 6.94E-07 1.57E-10 1.04E-10 8.83E-11 1.22E-09 2.50E-12 2.32E-07 7.69E-13 5.81E-08 4.17E-17
  3.95E+06 1.95E-16 1.10E-09 5.60E-07 2.82E-10 2.02E-10 1.73E-10 6.13E-10 1.62E-11 3.65E-07 2.90E-13 1.49E-07 1.13E-17
  4.35E+06 1.84E-16 2.23E-09 3.88E-07 4.50E-10 3.66E-10 3.12E-10 3.53E-10 1.10E-10 5.34E-07 7.30E-14 4.85E-07 2.32E-18
  4.75E+06 9.85E-17 6.62E-09 2.05E-07 5.28E-10 4.67E-10 3.08E-10 2.90E-10 7.51E-10 7.16E-07 1.45E-14 2.08E-06 3.69E-19
  5.15E+06 4.15E-17 3.96E-08 7.05E-08 3.78E-10 2.69E-10 6.92E-11 4.53E-10 4.49E-09 8.47E-07 2.76E-15 7.96E-06 2.87E-20
  5.55E+06 8.65E-18 8.55E-07 1.90E-08 1.05E-10 4.34E-11 2.16E-12 2.18E-09 2.60E-08 8.88E-07 6.08E-16 1.87E-05 6.12E-22
  5.95E+06 5.36E-19 1.48E-05 4.65E-09 1.96E-11 2.90E-12 1.48E-14 1.03E-08 5.48E-08 8.87E-07 1.63E-16 3.04E-05 1.03E-23
  6.35E+06 9.83E-20 5.82E-05 1.30E-09 6.27E-12 4.61E-13 1.77E-16 1.26E-08 6.76E-08 8.84E-07 5.46E-17 4.16E-05 4.68E-25
  6.75E+06 3.58E-20 1.31E-04 4.36E-10 1.88E-12 1.04E-13 4.30E-18 8.07E-09 7.38E-08 8.81E-07 2.25E-17 5.21E-05 4.78E-26
  7.15E+06 2.07E-20 2.16E-04 1.76E-10 5.09E-13 2.89E-14 1.96E-19 3.44E-09 7.70E-08 8.80E-07 1.11E-17 6.17E-05 7.45E-27
  7.55E+06 1.53E-20 3.00E-04 7.92E-11 1.29E-13 8.86E-15 1.29E-20 1.14E-09 7.87E-08 8.79E-07 6.11E-18 7.14E-05 1.36E-27
  7.95E+06 1.21E-20 3.82E-04 3.53E-11 3.10E-14 2.77E-15 8.86E-22 3.18E-10 7.99E-08 8.77E-07 3.35E-18 8.19E-05 2.38E-28
  8.35E+06 1.01E-20 4.52E-04 1.57E-11 8.10E-15 8.90E-16 6.40E-23 7.83E-11 8.05E-08 8.75E-07 1.84E-18 9.26E-05 4.14E-29
  8.75E+06 8.67E-21 5.12E-04 7.13E-12 2.92E-15 2.92E-16 4.88E-24 1.80E-11 8.07E-08 8.72E-07 1.03E-18 1.03E-04 7.25E-30
  9.15E+06 7.51E-21 5.69E-04 3.34E-12 1.81E-15 9.69E-17 3.98E-25 4.01E-12 8.07E-08 8.67E-07 5.96E-19 1.12E-04 1.28E-30
  9.55E+06 6.62E-21 6.34E-04 1.69E-12 1.63E-15 3.16E-17 3.61E-26 8.89E-13 8.02E-08 8.56E-07 3.68E-19 1.19E-04 2.30E-31
  9.95E+06 6.25E-21 7.22E-04 1.06E-12 1.66E-15 9.69E-18 5.41E-27 1.95E-13 7.93E-08 8.37E-07 2.63E-19 1.26E-04 5.61E-32
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 2.88E-12 5.39E-10 4.09E-14 1.51E-13 1.48E-14 5.31E-12 1.03E-14 5.39E-15 5.98E-19 2.65E-17 5.00E-10 9.48E-11
  1.50E+05 2.55E-12 5.00E-10 6.05E-14 2.17E-13 2.75E-14 7.95E-12 2.47E-14 1.10E-14 2.84E-18 1.78E-16 2.10E-10 1.25E-10
  2.50E+05 1.92E-12 4.62E-10 9.02E-14 3.26E-13 4.41E-14 1.13E-11 6.36E-14 1.88E-14 1.22E-17 7.12E-16 8.25E-11 1.39E-10
  3.50E+05 1.33E-12 4.25E-10 1.29E-13 4.70E-13 6.12E-14 1.46E-11 1.43E-13 2.82E-14 4.76E-17 2.37E-15 3.25E-11 1.48E-10
  7.50E+05 2.47E-13 2.98E-10 3.17E-13 1.20E-12 1.09E-13 2.18E-11 4.85E-13 7.87E-14 2.57E-15 1.19E-13 1.69E-12 2.14E-10
  1.15E+06 2.09E-13 1.94E-10 4.89E-13 2.81E-12 2.14E-14 8.48E-12 3.35E-13 3.01E-13 3.08E-14 1.27E-11 4.56E-13 1.04E-10
  1.55E+06 3.29E-14 2.84E-11 1.52E-12 4.31E-12 5.00E-14 9.86E-12 4.08E-13 1.61E-13 1.26E-14 4.15E-12 2.36E-14 1.32E-10
  1.95E+06 4.71E-15 2.80E-12 3.24E-12 3.32E-12 7.96E-14 6.04E-12 1.96E-13 2.95E-14 8.74E-16 6.50E-13 4.06E-16 9.70E-11
  2.35E+06 9.09E-16 9.58E-13 3.48E-12 1.25E-12 7.06E-14 2.07E-12 3.50E-14 3.25E-15 1.73E-17 8.23E-14 9.92E-18 5.39E-11
  2.75E+06 2.31E-16 4.11E-13 3.14E-12 3.79E-13 4.69E-14 5.20E-13 4.86E-15 4.71E-16 3.43E-19 6.31E-15 4.82E-19 2.32E-11
  3.15E+06 7.50E-17 1.55E-13 2.68E-12 1.42E-13 2.35E-14 1.27E-13 9.16E-16 9.68E-17 1.12E-20 2.44E-16 5.06E-20 7.58E-12
  3.55E+06 2.56E-17 5.15E-14 2.34E-12 8.74E-14 1.06E-14 4.40E-14 2.97E-16 3.04E-17 8.74E-22 6.85E-18 1.02E-20 2.17E-12
  3.95E+06 6.48E-18 1.65E-14 2.13E-12 7.69E-14 5.07E-15 2.13E-14 1.53E-16 1.38E-17 1.36E-22 1.74E-19 3.34E-21 6.74E-13
  4.35E+06 1.23E-18 5.06E-15 1.98E-12 6.21E-14 2.20E-15 8.33E-15 6.96E-17 5.51E-18 1.69E-23 5.87E-21 1.57E-21 2.23E-13
  4.75E+06 2.08E-19 1.42E-15 1.84E-12 2.83E-14 6.99E-16 1.39E-15 1.37E-17 1.44E-18 7.35E-25 1.94E-22 9.81E-22 5.06E-14
  5.15E+06 3.03E-20 4.11E-16 1.67E-12 3.82E-15 1.32E-16 4.75E-17 3.93E-19 2.45E-19 6.13E-27 4.20E-24 7.30E-22 3.74E-15
  5.55E+06 2.67E-21 1.80E-16 1.44E-12 1.40E-16 9.29E-18 2.95E-19 1.02E-21 1.77E-20 6.47E-30 3.68E-25 5.98E-22 5.72E-17
  5.95E+06 8.08E-22 2.23E-16 1.20E-12 5.34E-17 4.18E-19 3.65E-21 6.28E-24 4.70E-21 1.61E-31 7.20E-26 5.20E-22 2.25E-19
  6.35E+06 6.08E-22 2.72E-16 9.85E-13 2.42E-17 3.19E-20 1.58E-22 1.33E-25 1.17E-21 5.77E-33 5.34E-27 4.72E-22 4.67E-21
  6.75E+06 5.83E-22 3.08E-16 8.12E-13 1.08E-17 2.31E-21 7.90E-24 4.12E-27 2.83E-22 1.97E-34 2.15E-28 4.43E-22 1.74E-22
  7.15E+06 5.79E-22 3.36E-16 6.82E-13 4.92E-18 1.55E-22 4.30E-25 1.63E-28 6.94E-23 7.02E-36 5.75E-30 4.24E-22 8.86E-24
  7.55E+06 5.75E-22 3.42E-16 5.77E-13 2.25E-18 9.72E-24 2.38E-26 6.98E-30 1.70E-23 2.43E-37 1.18E-31 4.09E-22 5.14E-25
  7.95E+06 5.70E-22 3.24E-16 4.79E-13 1.01E-18 5.70E-25 1.13E-27 2.87E-31 4.08E-24 7.79E-39 1.95E-33 3.93E-22 2.98E-26
  8.35E+06 5.61E-22 2.94E-16 3.91E-13 4.43E-19 3.54E-26 5.01E-29 1.19E-32 9.57E-25 2.39E-40 2.80E-35 3.75E-22 1.77E-27
  8.75E+06 5.45E-22 2.61E-16 3.16E-13 1.93E-19 2.99E-27 2.25E-30 5.00E-34 2.19E-25 7.06E-42 3.67E-37 3.54E-22 1.06E-28
  9.15E+06 5.19E-22 2.29E-16 2.55E-13 8.35E-20 4.33E-28 1.14E-31 2.13E-35 4.89E-26 2.04E-43 4.53E-39 3.27E-22 6.25E-30
  9.55E+06 4.77E-22 2.00E-16 2.12E-13 3.70E-20 9.46E-29 7.61E-33 9.21E-37 1.09E-26 5.97E-45 5.21E-41 2.92E-22 3.42E-31
  9.95E+06 4.17E-22 1.73E-16 1.91E-13 1.77E-20 2.59E-29 9.41E-34 4.78E-38 2.54E-27 2.17E-46 5.40E-43 2.48E-22 1.67E-32
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 3.43E-13 7.01E-12 4.17E-10 2.00E-13 2.10E-04 6.21E-14 4.67E-16 2.43E-16 1.83E-12 5.84E-12 3.37E-15 4.00E-04
  1.50E+05 7.43E-13 1.35E-11 4.60E-10 3.94E-13 2.14E-04 5.18E-14 6.11E-16 3.42E-16 1.78E-12 8.79E-12 2.93E-15 4.05E-04
  2.50E+05 1.20E-12 1.97E-11 4.51E-10 6.57E-13 2.19E-04 4.97E-14 7.68E-16 4.88E-16 1.78E-12 1.09E-11 2.91E-15 4.09E-04
  3.50E+05 1.56E-12 2.59E-11 4.13E-10 1.02E-12 2.23E-04 5.14E-14 8.88E-16 7.44E-16 1.95E-12 1.25E-11 3.24E-15 4.13E-04
  7.50E+05 1.57E-12 5.13E-11 2.35E-10 3.34E-12 2.37E-04 7.30E-14 8.72E-16 4.57E-15 3.65E-12 1.96E-11 6.37E-15 4.27E-04
  1.15E+06 1.24E-12 1.31E-10 2.13E-10 1.56E-11 2.40E-04 1.25E-16 4.39E-19 3.42E-15 4.38E-13 1.32E-12 2.54E-17 4.30E-04
  1.55E+06 1.32E-12 1.33E-10 2.08E-10 7.93E-12 2.40E-04 1.04E-25 1.01E-27 8.54E-20 7.19E-18 2.52E-17 3.31E-26 4.30E-04
  1.95E+06 2.20E-12 9.48E-11 2.93E-10 1.30E-12 2.40E-04 2.00E-28 4.17E-29 2.63E-21 1.58E-19 6.67E-18 5.40E-28 4.30E-04
  2.35E+06 4.39E-12 6.17E-11 3.70E-10 9.21E-14 2.40E-04 4.00E-28 1.12E-28 3.50E-21 1.78E-19 6.65E-18 5.96E-28 4.30E-04
  2.75E+06 7.55E-12 3.15E-11 4.28E-10 4.15E-15 2.40E-04 6.88E-28 2.55E-28 4.48E-21 2.21E-19 6.60E-18 8.48E-28 4.30E-04
  3.15E+06 9.50E-12 1.14E-11 4.61E-10 1.69E-16 2.40E-04 1.69E-27 7.17E-28 7.38E-21 3.39E-19 6.47E-18 2.04E-27 4.30E-04
  3.55E+06 1.01E-11 3.55E-12 4.74E-10 9.70E-18 2.40E-04 5.24E-27 2.38E-27 1.44E-20 5.92E-19 6.20E-18 6.49E-27 4.30E-04
  3.95E+06 9.46E-12 1.05E-12 4.78E-10 7.49E-19 2.40E-04 2.09E-26 8.95E-27 2.69E-20 1.03E-18 5.73E-18 2.31E-26 4.29E-04
  4.35E+06 8.53E-12 3.59E-13 4.80E-10 6.05E-20 2.41E-04 7.15E-26 2.98E-26 5.84E-20 1.91E-18 4.81E-18 9.02E-26 4.29E-04
  4.75E+06 8.12E-12 1.21E-13 4.81E-10 2.72E-21 2.42E-04 1.07E-25 5.65E-26 1.62E-19 3.29E-18 3.31E-18 3.15E-25 4.27E-04
  5.15E+06 1.12E-11 3.32E-14 4.78E-10 2.89E-23 2.44E-04 2.97E-26 4.34E-26 5.81E-19 4.29E-18 1.87E-18 6.42E-25 4.21E-04
  5.55E+06 3.52E-11 1.83E-14 4.54E-10 9.98E-26 2.49E-04 4.81E-28 5.65E-27 2.29E-18 3.37E-18 1.07E-18 3.98E-25 4.10E-04
  5.95E+06 1.07E-10 1.50E-14 3.82E-10 1.75E-27 2.48E-04 1.32E-31 4.05E-29 2.00E-18 3.98E-18 7.27E-19 2.34E-26 3.97E-04
  6.35E+06 1.74E-10 7.56E-15 3.14E-10 5.85E-29 2.32E-04 3.51E-34 2.16E-30 1.96E-18 4.17E-18 5.56E-19 3.89E-27 3.85E-04
  6.75E+06 2.26E-10 2.81E-15 2.62E-10 2.35E-30 2.01E-04 1.99E-32 3.74E-31 2.63E-18 3.59E-18 4.45E-19 1.36E-27 3.74E-04
  7.15E+06 2.63E-10 8.47E-16 2.24E-10 1.05E-31 1.63E-04 6.98E-36 1.20E-31 3.77E-18 2.49E-18 3.69E-19 6.68E-28 3.63E-04
  7.55E+06 2.92E-10 2.24E-16 1.94E-10 4.86E-33 1.26E-04 4.01E-38 4.79E-32 4.91E-18 1.36E-18 3.12E-19 3.45E-28 3.52E-04
  7.95E+06 3.17E-10 5.32E-17 1.67E-10 2.15E-34 9.14E-05 1.53E-39 2.09E-32 5.65E-18 6.02E-19 2.60E-19 1.71E-28 3.39E-04
  8.35E+06 3.38E-10 1.18E-17 1.43E-10 9.15E-36 6.39E-05 1.56E-40 1.01E-32 5.95E-18 2.27E-19 2.14E-19 8.30E-29 3.24E-04
  8.75E+06 3.53E-10 2.50E-18 1.23E-10 3.74E-37 4.38E-05 1.81E-41 5.46E-33 5.94E-18 7.78E-20 1.71E-19 3.97E-29 3.06E-04
  9.15E+06 3.60E-10 5.12E-19 1.06E-10 1.45E-38 2.98E-05 2.24E-42 3.23E-33 5.70E-18 2.54E-20 1.29E-19 1.85E-29 2.85E-04
  9.55E+06 3.58E-10 1.01E-19 9.28E-11 5.28E-40 2.02E-05 2.78E-43 1.97E-33 5.24E-18 8.24E-21 8.93E-20 8.22E-30 2.57E-04
  9.95E+06 3.44E-10 1.88E-20 8.38E-11 1.95E-41 1.31E-05 4.07E-44 1.16E-33 4.55E-18 3.07E-21 5.41E-20 3.36E-30 2.23E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.25E-10
  1.50E+05 1.48E-10
  2.50E+05 1.95E-10
  3.50E+05 2.53E-10
  7.50E+05 4.94E-10
  1.15E+06 5.69E-10
  1.55E+06 4.84E-10
  1.95E+06 3.13E-10
  2.35E+06 2.05E-10
  2.75E+06 1.40E-10
  3.15E+06 8.79E-11
  3.55E+06 4.83E-11
  3.95E+06 2.31E-11
  4.35E+06 9.35E-12
  4.75E+06 3.07E-12
  5.15E+06 7.41E-13
  5.55E+06 1.28E-13
  5.95E+06 1.48E-14
  6.35E+06 1.06E-15
  6.75E+06 3.87E-17
  7.15E+06 5.56E-19
  7.55E+06 5.86E-22
  7.95E+06 1.77E-27
  8.35E+06 1.07E-37
  8.75E+06 1.29E-56
  9.15E+06 1.35E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 2.11E-10 0.00E+00 3.84E-14 0.00E+00 1.65E-11 3.59E-04 1.42E-03 2.46E-05 2.23E-05 2.02E-05 1.83E-04
   3.50E+05 2.59E-10 0.00E+00 8.45E-13 0.00E+00 6.75E-11 4.34E-04 1.93E-03 3.00E-05 2.87E-05 2.51E-05 2.00E-04
   6.50E+05 3.23E-10 0.00E+00 7.01E-12 0.00E+00 3.55E-10 4.89E-04 2.29E-03 3.41E-05 3.33E-05 2.86E-05 2.13E-04
   9.50E+05 4.06E-10 3.29-138 2.85E-11 1.58-137 2.45E-09 5.36E-04 2.57E-03 3.75E-05 3.69E-05 3.15E-05 2.26E-04
   1.25E+06 4.72E-10 4.76E-80 4.27E-11 2.28E-79 4.41E-09 5.84E-04 2.86E-03 4.09E-05 4.00E-05 3.42E-05 2.40E-04
   1.55E+06 5.57E-10 1.08E-53 6.09E-11 5.19E-53 7.56E-09 6.30E-04 3.20E-03 4.45E-05 4.29E-05 3.65E-05 2.56E-04
   1.85E+06 6.66E-10 2.99E-37 8.56E-11 1.43E-36 1.32E-08 6.74E-04 3.53E-03 4.79E-05 4.54E-05 3.85E-05 2.71E-04
   2.15E+06 8.13E-10 5.67E-27 1.20E-10 2.72E-26 2.36E-08 7.12E-04 3.84E-03 5.08E-05 4.74E-05 4.01E-05 2.82E-04
   2.45E+06 1.01E-09 1.57E-20 1.67E-10 7.55E-20 4.23E-08 7.44E-04 4.10E-03 5.30E-05 4.90E-05 4.13E-05 2.89E-04
   2.75E+06 1.29E-09 1.78E-16 2.31E-10 8.52E-16 7.26E-08 7.67E-04 4.28E-03 5.46E-05 5.01E-05 4.21E-05 2.94E-04
   3.05E+06 1.68E-09 6.45E-14 3.10E-10 3.10E-13 1.16E-07 7.82E-04 4.41E-03 5.56E-05 5.08E-05 4.26E-05 2.96E-04
   3.35E+06 2.26E-09 2.73E-12 4.02E-10 1.31E-11 1.74E-07 7.92E-04 4.49E-03 5.63E-05 5.13E-05 4.30E-05 2.98E-04
   3.65E+06 3.14E-09 3.00E-11 5.04E-10 1.43E-10 2.83E-07 7.97E-04 4.54E-03 5.67E-05 5.16E-05 4.32E-05 2.99E-04
   3.95E+06 4.46E-09 1.50E-10 6.10E-10 6.68E-10 5.35E-07 8.01E-04 4.57E-03 5.70E-05 5.18E-05 4.33E-05 2.99E-04
   4.25E+06 6.30E-09 6.05E-10 7.17E-10 1.81E-09 1.01E-06 8.03E-04 4.58E-03 5.71E-05 5.19E-05 4.34E-05 3.00E-04
   4.55E+06 8.75E-09 2.45E-09 8.18E-10 3.47E-09 1.66E-06 8.05E-04 4.60E-03 5.73E-05 5.19E-05 4.34E-05 3.00E-04
   4.85E+06 1.20E-08 7.92E-09 9.11E-10 5.36E-09 2.38E-06 8.05E-04 4.60E-03 5.74E-05 5.20E-05 4.35E-05 3.00E-04
   5.15E+06 1.61E-08 1.98E-08 9.97E-10 7.32E-09 3.10E-06 8.06E-04 4.61E-03 5.74E-05 5.20E-05 4.35E-05 3.00E-04
   5.45E+06 2.10E-08 4.17E-08 1.08E-09 9.42E-09 3.79E-06 8.06E-04 4.61E-03 5.75E-05 5.20E-05 4.35E-05 3.01E-04
   5.75E+06 2.65E-08 7.95E-08 1.15E-09 1.20E-08 4.45E-06 8.07E-04 4.61E-03 5.75E-05 5.21E-05 4.35E-05 3.01E-04
   6.05E+06 3.19E-08 1.43E-07 1.21E-09 1.57E-08 5.07E-06 8.07E-04 4.61E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   6.35E+06 3.68E-08 2.55E-07 1.25E-09 2.17E-08 5.64E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   6.65E+06 4.08E-08 4.55E-07 1.29E-09 3.22E-08 6.16E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   6.95E+06 4.37E-08 7.72E-07 1.31E-09 4.92E-08 6.60E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   7.25E+06 4.56E-08 1.17E-06 1.33E-09 7.11E-08 6.96E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   7.55E+06 4.67E-08 1.57E-06 1.34E-09 9.36E-08 7.23E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   7.85E+06 4.72E-08 1.91E-06 1.34E-09 1.13E-07 7.41E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   8.15E+06 4.75E-08 2.17E-06 1.34E-09 1.28E-07 7.53E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   8.45E+06 4.77E-08 2.33E-06 1.35E-09 1.38E-07 7.59E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   8.75E+06 4.77E-08 2.43E-06 1.35E-09 1.43E-07 7.63E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   9.05E+06 4.78E-08 2.48E-06 1.35E-09 1.46E-07 7.65E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   9.35E+06 4.78E-08 2.51E-06 1.35E-09 1.48E-07 7.66E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   9.65E+06 4.78E-08 2.52E-06 1.35E-09 1.49E-07 7.66E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04
   9.95E+06 4.78E-08 2.53E-06 1.35E-09 1.49E-07 7.67E-06 8.07E-04 4.62E-03 5.76E-05 5.21E-05 4.35E-05 3.01E-04

     Z      PCH4     PCH3OOH  PN2O     PHNO3    PNO      PNO2     PHNO4    PCCL3F   PCCL2F2  PCCL4    PCH3CL
   5.00E+04 0.00E+00 2.07E-05 7.98E-08 1.74E-05 6.39E-60 3.02E-03 1.05E-04 2.36E-06 1.22E-07 9.75E-06 9.46E-10
