
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 3.878E+05 1.521E+04 3.163E+06 0.000E+00 2.236E-13 5.558E-14 2.597E-05 3.024E-06 5.016E-09 1.127E-02 5.100E+16 1.652E+06 4.307E-03
   1.500E+05 8.499E+05 2.209E+19 3.613E+05 1.771E+04 4.549E+06 0.000E+00 4.053E-13 1.148E-13 2.832E-05 3.294E-06 7.268E-09 6.983E-03 4.650E+16 1.946E+06 7.078E-03
   2.500E+05 7.535E+05 2.006E+19 3.405E+05 1.874E+04 7.001E+06 0.000E+00 6.618E-13 2.250E-13 3.028E-05 3.539E-06 1.153E-08 4.153E-03 4.229E+16 2.290E+06 1.229E-02
   3.500E+05 6.661E+05 1.816E+19 2.820E+05 1.836E+04 1.045E+07 0.000E+00 1.030E-12 4.471E-13 3.169E-05 3.765E-06 1.816E-08 2.261E-03 3.838E+16 2.471E+06 2.052E-02
   4.500E+05 5.874E+05 1.629E+19 2.515E+05 2.080E+04 1.477E+07 0.000E+00 1.553E-12 9.010E-13 3.311E-05 3.976E-06 2.739E-08 1.417E-03 3.449E+16 2.787E+06 3.242E-02
   5.500E+05 5.167E+05 1.464E+19 1.877E+05 2.085E+04 1.987E+07 0.000E+00 2.289E-12 1.819E-12 3.422E-05 4.176E-06 3.966E-08 7.831E-04 3.105E+16 2.832E+06 4.847E-02
   6.500E+05 4.532E+05 1.317E+19 1.149E+05 1.750E+04 2.545E+07 0.000E+00 3.295E-12 3.551E-12 3.511E-05 4.371E-06 5.504E-08 3.740E-04 2.798E+16 2.616E+06 6.857E-02
   7.500E+05 3.961E+05 1.182E+19 6.231E+04 1.299E+04 3.115E+07 0.000E+00 4.624E-12 6.613E-12 3.596E-05 4.567E-06 7.327E-08 1.662E-04 2.514E+16 2.267E+06 9.264E-02
   8.500E+05 3.450E+05 1.058E+19 2.932E+04 8.567E+03 3.659E+07 0.000E+00 6.333E-12 1.212E-11 3.687E-05 4.766E-06 9.380E-08 6.682E-05 2.252E+16 1.923E+06 1.202E-01
   9.500E+05 2.988E+05 9.621E+18 6.449E+03 2.743E+03 4.164E+07 7.721-248 8.504E-12 2.188E-11 3.702E-05 4.976E-06 1.169E-07 1.303E-05 2.049E+16 1.447E+06 1.471E-01
   1.050E+06 2.567E+05 8.854E+18 5.232E+02 3.010E+02 4.801E+07 8.618-202 1.128E-11 3.657E-11 3.633E-05 5.205E-06 1.493E-07 9.298E-07 1.886E+16 1.250E+06 1.780E-01
   1.150E+06 2.193E+05 7.564E+18 6.860E+02 4.117E+02 6.241E+07 4.234-175 1.479E-11 5.804E-11 3.942E-05 5.460E-06 2.093E-07 9.378E-07 1.611E+16 1.185E+06 2.709E-01
   1.250E+06 1.873E+05 6.462E+18 1.011E+03 5.571E+02 9.018E+07 2.884-152 1.930E-11 9.018E-11 4.366E-05 5.755E-06 3.196E-07 9.560E-07 1.376E+16 1.210E+06 4.581E-01
   1.350E+06 1.601E+05 5.521E+18 1.551E+03 7.729E+02 1.333E+08 1.054-132 2.553E-11 1.410E-10 5.021E-05 6.131E-06 4.807E-07 9.931E-07 1.176E+16 1.444E+06 7.924E-01
   1.450E+06 1.368E+05 4.718E+18 2.296E+03 1.116E+03 1.855E+08 6.649-116 3.454E-11 2.240E-10 6.087E-05 6.644E-06 6.461E-07 1.056E-06 1.004E+16 1.845E+06 1.291E+00
   1.550E+06 1.169E+05 4.031E+18 3.191E+03 1.653E+03 2.381E+08 1.944-101 4.758E-11 3.586E-10 7.794E-05 7.356E-06 7.579E-07 1.143E-06 8.582E+15 2.395E+06 1.939E+00
   1.650E+06 9.986E+04 3.445E+18 4.197E+03 2.446E+03 2.855E+08 5.983E-89 6.569E-11 5.663E-10 1.042E-04 8.322E-06 7.956E-07 1.254E-06 7.333E+15 3.135E+06 2.721E+00
   1.750E+06 8.534E+04 2.944E+18 5.249E+03 3.521E+03 3.244E+08 3.803E-78 8.954E-11 8.665E-10 1.432E-04 9.589E-06 7.698E-07 1.380E-06 6.266E+15 4.117E+06 3.618E+00
   1.850E+06 7.293E+04 2.516E+18 6.290E+03 4.857E+03 3.541E+08 8.675E-69 1.194E-10 1.274E-09 2.004E-04 1.120E-05 7.023E-07 1.516E-06 5.355E+15 5.405E+06 4.620E+00
   1.950E+06 6.233E+04 2.150E+18 7.266E+03 6.387E+03 3.752E+08 1.121E-60 1.550E-10 1.798E-09 2.858E-04 1.319E-05 6.106E-07 1.652E-06 4.576E+15 7.070E+06 5.728E+00
