
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 4.392E+05 6.682E+05 3.580E+06 0.000E+00 3.663E-11 2.442E-12 5.207E-04 9.741E-06 2.831E-10 1.127E-02 5.100E+15 1.156E+07 4.878E-03
   1.500E+05 8.500E+05 2.209E+19 5.461E+05 7.345E+05 6.868E+06 0.000E+00 5.512E-11 4.761E-12 6.033E-04 1.163E-05 5.153E-10 6.983E-03 4.739E+15 1.871E+07 1.070E-02
   2.500E+05 7.536E+05 2.006E+19 5.971E+05 7.204E+05 1.226E+07 0.000E+00 7.430E-11 8.647E-12 6.772E-04 1.338E-05 9.030E-10 4.153E-03 4.390E+15 2.780E+07 2.154E-02
   3.500E+05 6.662E+05 1.816E+19 5.340E+05 6.383E+05 1.978E+07 0.000E+00 9.463E-11 1.554E-11 7.424E-04 1.505E-05 1.467E-09 2.262E-03 4.053E+15 3.620E+07 3.885E-02
   4.500E+05 5.875E+05 1.629E+19 4.648E+05 6.484E+05 2.728E+07 0.000E+00 1.163E-10 2.809E-11 8.039E-04 1.663E-05 2.083E-09 1.417E-03 3.701E+15 4.506E+07 5.992E-02
   5.500E+05 5.168E+05 1.464E+19 3.559E+05 5.962E+05 3.763E+07 0.000E+00 1.398E-10 5.199E-11 8.617E-04 1.816E-05 2.983E-09 7.832E-04 3.381E+15 4.952E+07 9.187E-02
   6.500E+05 4.533E+05 1.318E+19 2.411E+05 4.810E+05 5.335E+07 0.000E+00 1.657E-10 9.761E-11 9.190E-04 1.966E-05 4.407E-09 3.740E-04 3.086E+15 4.880E+07 1.438E-01
   7.500E+05 3.962E+05 1.182E+19 1.510E+05 3.625E+05 7.540E+07 0.000E+00 1.945E-10 1.845E-10 9.804E-04 2.117E-05 6.503E-09 1.662E-04 2.803E+15 4.505E+07 2.244E-01
   8.500E+05 3.451E+05 1.058E+19 8.447E+04 2.601E+05 1.053E+08 0.000E+00 2.263E-10 3.677E-10 1.052E-03 2.274E-05 9.455E-09 6.685E-05 2.530E+15 3.898E+07 3.461E-01
   9.500E+05 2.989E+05 9.624E+18 2.258E+04 9.429E+04 1.455E+08 3.593-141 2.621E-10 7.513E-10 1.140E-03 2.446E-05 1.326E-08 1.304E-05 2.313E+15 2.429E+07 5.143E-01
