 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-005  CO2 =   4.000000000000000E-004
 
    CH4 =   2.590435860605555E-009
 Standard CH3CL flux =  2.800E+08

 PO2= 7.417E-04  PNO= 2.805E-03  ZAPNO= 2.964E+02
 N= 3     X= 1.22526E-01  ERR= 5.46052E-08

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 4.37E-14 8.36E-11 1.62E-14 6.12E-13 1.15E-13 5.45E-11 1.28E-12 2.04E-13 2.48E-16 6.52E-21 3.68E-14 5.64E-12
  3.50E+05 2.19E-14 7.15E-11 2.54E-14 7.42E-13 1.39E-13 5.56E-11 1.58E-12 2.16E-13 5.79E-16 1.31E-20 8.63E-15 5.27E-12
  7.50E+05 3.84E-15 4.35E-11 2.06E-13 1.45E-12 4.13E-13 5.44E-11 1.62E-12 2.18E-13 9.23E-15 8.76E-19 1.54E-16 5.76E-12
  1.15E+06 8.91E-16 2.87E-11 8.21E-12 3.82E-12 2.11E-12 3.86E-11 1.15E-12 6.88E-14 1.09E-14 1.35E-15 5.02E-17 6.13E-12
  1.55E+06 5.26E-16 5.57E-12 9.14E-12 2.64E-12 1.79E-12 2.15E-11 3.84E-13 3.62E-14 1.83E-15 3.29E-16 2.97E-18 4.28E-12
  1.95E+06 1.94E-16 8.96E-13 5.91E-12 1.26E-12 6.75E-13 7.13E-12 1.06E-13 9.90E-15 1.16E-16 2.87E-17 4.63E-20 1.92E-12
  2.35E+06 8.36E-17 2.12E-13 3.96E-12 6.36E-13 2.34E-13 2.34E-12 2.93E-14 2.59E-15 7.28E-18 1.29E-18 1.39E-21 5.97E-13
  2.75E+06 4.64E-17 5.76E-14 3.10E-12 3.63E-13 8.85E-14 7.98E-13 8.31E-15 7.14E-16 5.18E-19 5.15E-20 1.07E-22 1.65E-13
  3.15E+06 2.79E-17 1.64E-14 2.63E-12 2.13E-13 3.40E-14 2.51E-13 2.23E-15 1.84E-16 3.33E-20 2.32E-21 1.63E-23 4.63E-14
  3.55E+06 1.39E-17 4.92E-15 2.28E-12 1.24E-13 1.26E-14 7.09E-14 5.95E-16 4.49E-17 1.92E-21 1.15E-22 4.09E-24 1.36E-14
  3.95E+06 4.39E-18 1.77E-15 1.99E-12 7.55E-14 4.34E-15 1.87E-14 1.89E-16 1.19E-17 1.21E-22 4.90E-24 1.57E-24 4.28E-15
  4.35E+06 8.82E-19 6.73E-16 1.73E-12 2.72E-14 9.37E-16 1.87E-15 3.18E-17 2.40E-18 3.40E-24 9.53E-26 8.75E-25 7.27E-16
  4.75E+06 1.23E-19 3.08E-16 1.45E-12 2.18E-15 1.17E-16 2.73E-17 3.60E-19 3.33E-19 1.45E-26 1.74E-27 6.13E-25 2.98E-17
  5.15E+06 8.07E-21 1.94E-16 1.14E-12 1.68E-16 9.76E-18 2.39E-19 1.47E-21 3.93E-20 4.42E-29 2.70E-28 4.80E-25 6.68E-19
  5.55E+06 1.54E-21 2.16E-16 8.53E-13 6.95E-17 5.69E-19 7.33E-21 1.90E-23 1.12E-20 1.64E-30 4.87E-29 4.05E-25 5.97E-21
  5.95E+06 9.83E-22 2.54E-16 6.28E-13 2.85E-17 4.26E-20 3.33E-22 4.18E-25 2.54E-21 4.95E-32 4.58E-30 3.59E-25 1.54E-22
  6.35E+06 9.16E-22 2.82E-16 4.63E-13 1.14E-17 2.92E-21 1.49E-23 1.17E-26 5.54E-22 1.37E-33 2.32E-31 3.31E-25 6.01E-24
  6.75E+06 9.07E-22 2.94E-16 3.49E-13 4.67E-18 1.77E-22 6.65E-25 3.91E-28 1.22E-22 3.92E-35 6.87E-33 3.13E-25 2.89E-25
  7.15E+06 9.03E-22 2.87E-16 2.74E-13 1.98E-18 1.04E-23 3.29E-26 1.59E-29 2.77E-23 1.22E-36 1.47E-34 3.00E-25 1.68E-26
  7.55E+06 8.99E-22 2.70E-16 2.20E-13 8.55E-19 6.13E-25 1.73E-27 6.86E-31 6.38E-24 3.76E-38 2.60E-36 2.90E-25 1.07E-27
  7.95E+06 8.91E-22 2.45E-16 1.73E-13 3.63E-19 3.88E-26 8.08E-29 2.81E-32 1.43E-24 1.07E-39 3.95E-38 2.78E-25 6.68E-29
  8.35E+06 8.77E-22 2.20E-16 1.35E-13 1.52E-19 3.45E-27 3.76E-30 1.14E-33 3.12E-25 2.91E-41 5.44E-40 2.66E-25 4.11E-30
  8.75E+06 8.52E-22 1.95E-16 1.04E-13 6.27E-20 5.21E-28 1.97E-31 4.64E-35 6.58E-26 7.57E-43 7.02E-42 2.51E-25 2.48E-31
  9.15E+06 8.11E-22 1.71E-16 8.09E-14 2.59E-20 1.13E-28 1.38E-32 1.90E-36 1.34E-26 1.90E-44 8.60E-44 2.32E-25 1.43E-32
  9.55E+06 7.45E-22 1.49E-16 6.52E-14 1.09E-20 2.92E-29 1.37E-33 7.88E-38 2.67E-27 4.79E-46 9.88E-46 2.07E-25 7.50E-34
  9.95E+06 6.51E-22 1.29E-16 5.79E-14 5.03E-21 8.63E-30 2.26E-34 3.95E-39 5.53E-28 1.51E-47 1.03E-47 1.76E-25 3.58E-35
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 1.20E-14 7.45E-14 7.04E-12 2.03E-15 2.10E-05 1.87E-14 2.47E-16 1.79E-17 6.61E-14 6.43E-12 1.12E-16 4.00E-04
  1.50E+05 1.10E-14 6.45E-14 6.35E-12 2.38E-15 2.55E-05 2.00E-14 2.64E-16 2.65E-17 9.09E-14 9.00E-12 1.56E-16 4.05E-04
  2.50E+05 1.03E-14 5.96E-14 5.73E-12 2.83E-15 2.99E-05 2.07E-14 2.80E-16 4.03E-17 1.24E-13 1.09E-11 2.14E-16 4.09E-04
  3.50E+05 1.02E-14 6.09E-14 5.20E-12 3.63E-15 3.42E-05 2.10E-14 2.94E-16 6.52E-17 1.72E-13 1.26E-11 3.01E-16 4.13E-04
  7.50E+05 1.06E-14 1.39E-13 3.19E-12 1.42E-14 4.81E-05 2.34E-14 3.24E-16 5.41E-16 6.32E-13 1.96E-11 1.11E-15 4.27E-04
  1.15E+06 8.69E-15 1.26E-12 1.30E-12 2.77E-13 5.14E-05 7.05E-18 7.73E-21 5.67E-17 1.20E-14 9.95E-13 2.82E-19 4.30E-04
  1.55E+06 3.38E-14 1.13E-12 3.48E-12 4.74E-14 5.14E-05 5.64E-28 5.99E-29 3.92E-22 6.27E-20 9.54E-18 6.34E-28 4.30E-04
  1.95E+06 6.96E-14 6.10E-13 6.37E-12 3.55E-15 5.14E-05 1.54E-27 2.38E-28 3.91E-22 5.07E-20 5.78E-18 7.29E-28 4.30E-04
  2.35E+06 9.69E-14 2.37E-13 8.04E-12 2.06E-16 5.14E-05 6.39E-27 1.14E-27 8.01E-22 8.47E-20 5.74E-18 1.53E-27 4.30E-04
  2.75E+06 1.17E-13 8.72E-14 8.60E-12 1.27E-17 5.14E-05 1.70E-26 3.68E-27 1.75E-21 1.48E-19 5.67E-18 3.61E-27 4.30E-04
  3.15E+06 1.36E-13 3.43E-14 8.75E-12 8.50E-19 5.15E-05 3.59E-26 9.67E-27 4.16E-21 2.72E-19 5.54E-18 1.02E-26 4.30E-04
  3.55E+06 1.48E-13 1.42E-14 8.79E-12 5.99E-20 5.16E-05 7.24E-26 2.39E-26 1.09E-20 5.36E-19 5.26E-18 3.45E-26 4.30E-04
  3.95E+06 1.33E-13 5.42E-15 8.82E-12 4.04E-21 5.18E-05 1.87E-25 6.50E-26 3.19E-20 1.15E-18 4.62E-18 1.52E-25 4.29E-04
  4.35E+06 9.65E-14 1.40E-15 8.86E-12 1.10E-22 5.31E-05 3.93E-25 1.63E-25 1.44E-19 2.57E-18 3.07E-18 8.31E-25 4.27E-04
  4.75E+06 1.56E-13 3.52E-16 8.80E-12 6.08E-25 5.79E-05 5.01E-26 8.73E-26 7.65E-19 3.51E-18 1.50E-18 1.53E-24 4.17E-04
  5.15E+06 5.01E-13 2.58E-16 8.45E-12 5.79E-27 6.60E-05 4.22E-28 7.53E-27 2.02E-18 2.99E-18 7.42E-19 5.90E-25 4.00E-04
  5.55E+06 1.31E-12 2.04E-16 7.64E-12 1.54E-28 7.25E-05 2.84E-31 9.83E-29 1.53E-18 3.73E-18 4.92E-19 4.32E-26 3.81E-04
  5.95E+06 2.30E-12 1.16E-16 6.63E-12 5.19E-30 7.30E-05 9.61E-34 5.55E-30 1.43E-18 3.91E-18 3.85E-19 7.22E-27 3.64E-04
