
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 2.095E+05 3.273E+05 1.708E+06 0.000E+00 8.430E-12 1.196E-12 1.393E-04 5.256E-06 5.049E-10 1.127E-02 5.100E+15 3.492E+06 2.327E-03
   1.500E+05 8.500E+05 2.209E+19 2.671E+05 3.779E+05 3.359E+06 0.000E+00 1.371E-11 2.449E-12 1.558E-04 5.967E-06 9.756E-10 6.983E-03 4.739E+15 5.156E+06 5.232E-03
   2.500E+05 7.536E+05 2.006E+19 3.391E+05 3.909E+05 6.966E+06 0.000E+00 1.991E-11 4.693E-12 1.702E-04 6.635E-06 2.040E-09 4.153E-03 4.390E+15 7.294E+06 1.224E-02
   3.500E+05 6.662E+05 1.816E+19 3.622E+05 3.641E+05 1.341E+07 0.000E+00 2.726E-11 8.864E-12 1.820E-04 7.275E-06 4.058E-09 2.262E-03 4.053E+15 9.391E+06 2.635E-02
   4.500E+05 5.875E+05 1.629E+19 3.924E+05 3.852E+05 2.303E+07 0.000E+00 3.595E-11 1.669E-11 1.931E-04 7.895E-06 7.319E-09 1.417E-03 3.701E+15 1.244E+07 5.058E-02
   5.500E+05 5.168E+05 1.464E+19 3.511E+05 3.653E+05 3.713E+07 0.000E+00 4.637E-11 3.186E-11 2.034E-04 8.512E-06 1.247E-08 7.832E-04 3.381E+15 1.467E+07 9.063E-02
   6.500E+05 4.533E+05 1.318E+19 2.538E+05 3.016E+05 5.616E+07 0.000E+00 5.905E-11 6.121E-11 2.137E-04 9.147E-06 1.995E-08 3.740E-04 3.086E+15 1.525E+07 1.514E-01
   7.500E+05 3.962E+05 1.182E+19 1.592E+05 2.316E+05 7.946E+07 0.000E+00 7.448E-11 1.178E-10 2.254E-04 9.821E-06 2.981E-08 1.662E-04 2.802E+15 1.465E+07 2.365E-01
   8.500E+05 3.451E+05 1.058E+19 8.516E+04 1.690E+05 1.061E+08 0.000E+00 9.321E-11 2.389E-10 2.402E-04 1.056E-05 4.175E-08 6.685E-05 2.529E+15 1.343E+07 3.490E-01
   9.500E+05 2.989E+05 9.624E+18 2.151E+04 6.239E+04 1.386E+08 1.271-153 1.161E-10 4.971E-10 2.582E-04 1.142E-05 5.578E-08 1.304E-05 2.312E+15 9.209E+06 4.899E-01
   1.050E+06 2.568E+05 8.857E+18 2.025E+03 7.027E+03 1.852E+08 1.126-119 1.434E-10 8.512E-10 2.832E-04 1.247E-05 7.383E-08 9.321E-07 2.128E+15 4.990E+06 6.870E-01
   1.150E+06 2.194E+05 7.567E+18 2.730E+03 9.079E+03 2.483E+08 4.059-104 1.764E-10 1.280E-09 3.358E-04 1.382E-05 9.773E-08 9.373E-07 1.817E+15 5.363E+06 1.078E+00
   1.250E+06 1.874E+05 6.465E+18 3.691E+03 1.124E+04 3.317E+08 8.290E-91 2.164E-10 1.834E-09 4.258E-04 1.563E-05 1.205E-07 9.486E-07 1.552E+15 6.721E+06 1.686E+00
   1.350E+06 1.601E+05 5.524E+18 4.514E+03 1.368E+04 3.966E+08 2.107E-79 2.651E-10 2.552E-09 5.833E-04 1.814E-05 1.231E-07 9.703E-07 1.326E+15 8.831E+06 2.359E+00
   1.450E+06 1.368E+05 4.720E+18 4.713E+03 1.638E+04 4.002E+08 1.307E-69 3.209E-10 3.456E-09 8.269E-04 2.136E-05 1.025E-07 1.004E-06 1.133E+15 1.142E+07 2.786E+00
   1.550E+06 1.169E+05 4.033E+18 4.357E+03 1.922E+04 3.551E+08 3.473E-61 3.802E-10 4.556E-09 1.133E-03 2.496E-05 7.773E-08 1.046E-06 9.684E+14 1.412E+07 2.893E+00
   1.650E+06 9.993E+04 3.447E+18 3.782E+03 2.210E+04 2.951E+08 6.275E-54 4.403E-10 5.868E-09 1.457E-03 2.855E-05 5.879E-08 1.092E-06 8.275E+14 1.675E+07 2.813E+00
   1.750E+06 8.540E+04 2.946E+18 3.173E+03 2.492E+04 2.376E+08 1.129E-47 5.007E-10 7.430E-09 1.769E-03 3.192E-05 4.559E-08 1.138E-06 7.071E+14 1.924E+07 2.650E+00
   1.850E+06 7.298E+04 2.517E+18 2.591E+03 2.763E+04 1.871E+08 2.778E-42 5.618E-10 9.298E-09 2.057E-03 3.499E-05 3.612E-08 1.180E-06 6.042E+14 2.156E+07 2.442E+00
   1.950E+06 6.238E+04 2.152E+18 2.067E+03 3.021E+04 1.449E+08 1.224E-37 6.244E-10 1.155E-08 2.317E-03 3.775E-05 2.906E-08 1.216E-06 5.163E+14 2.370E+07 2.212E+00
   2.050E+06 5.332E+04 1.839E+18 1.618E+03 3.266E+04 1.109E+08 1.216E-33 6.897E-10 1.428E-08 2.549E-03 4.023E-05 2.365E-08 1.244E-06 4.413E+14 2.567E+07 1.981E+00
   2.150E+06 4.557E+04 1.572E+18 1.246E+03 3.502E+04 8.399E+07 3.327E-30 7.586E-10 1.762E-08 2.756E-03 4.245E-05 1.939E-08 1.265E-06 3.772E+14 2.748E+07 1.756E+00
   2.250E+06 3.896E+04 1.344E+18 9.463E+02 3.731E+04 6.306E+07 2.987E-27 8.322E-10 2.171E-08 2.938E-03 4.445E-05 1.598E-08 1.279E-06 3.224E+14 2.915E+07 1.542E+00
   2.350E+06 3.330E+04 1.149E+18 7.088E+02 3.951E+04 4.691E+07 1.025E-24 9.113E-10 2.671E-08 3.098E-03 4.624E-05 1.319E-08 1.288E-06 2.756E+14 3.069E+07 1.342E+00
   2.450E+06 2.847E+04 9.820E+17 5.235E+02 4.159E+04 3.455E+07 1.536E-22 9.968E-10 3.279E-08 3.237E-03 4.784E-05 1.087E-08 1.292E-06 2.356E+14 3.208E+07 1.156E+00
   2.550E+06 2.434E+04 8.395E+17 3.812E+02 4.347E+04 2.517E+07 1.129E-20 1.090E-09 4.010E-08 3.356E-03 4.926E-05 8.932E-09 1.291E-06 2.014E+14 3.330E+07 9.850E-01
   2.650E+06 2.081E+04 7.178E+17 2.738E+02 4.508E+04 1.814E+07 4.504E-19 1.191E-09 4.880E-08 3.458E-03 5.052E-05 7.306E-09 1.287E-06 1.722E+14 3.432E+07 8.302E-01
   2.750E+06 1.779E+04 6.137E+17 1.943E+02 4.631E+04 1.295E+07 1.063E-17 1.303E-09 5.899E-08 3.545E-03 5.163E-05 5.951E-09 1.279E-06 1.472E+14 3.511E+07 6.931E-01
   2.850E+06 1.521E+04 5.248E+17 1.365E+02 4.708E+04 9.178E+06 1.599E-16 1.426E-09 7.077E-08 3.619E-03 5.261E-05 4.833E-09 1.268E-06 1.259E+14 3.567E+07 5.747E-01
   2.950E+06 1.301E+04 4.487E+17 9.527E+01 4.731E+04 6.482E+06 1.636E-15 1.564E-09 8.416E-08 3.681E-03 5.348E-05 3.925E-09 1.253E-06 1.076E+14 3.599E+07 4.746E-01
   3.050E+06 1.112E+04 3.837E+17 6.625E+01 4.698E+04 4.574E+06 1.203E-14 1.719E-09 9.918E-08 3.733E-03 5.424E-05 3.193E-09 1.235E-06 9.205E+13 3.605E+07 3.917E-01
   3.150E+06 9.514E+03 3.282E+17 4.602E+01 4.610E+04 3.234E+06 6.665E-14 1.894E-09 1.158E-07 3.778E-03 5.491E-05 2.609E-09 1.213E-06 7.872E+13 3.588E+07 3.239E-01
   3.250E+06 8.136E+03 2.806E+17 3.198E+01 4.473E+04 2.295E+06 2.898E-13 2.095E-09 1.342E-07 3.815E-03 5.549E-05 2.144E-09 1.188E-06 6.733E+13 3.550E+07 2.688E-01
   3.350E+06 6.959E+03 2.400E+17 2.224E+01 4.304E+04 1.636E+06 1.024E-12 2.324E-09 1.548E-07 3.847E-03 5.601E-05 1.772E-09 1.158E-06 5.759E+13 3.496E+07 2.240E-01
   3.450E+06 5.952E+03 2.053E+17 1.547E+01 4.128E+04 1.170E+06 3.027E-12 2.587E-09 1.787E-07 3.875E-03 5.646E-05 1.471E-09 1.125E-06 4.926E+13 3.433E+07 1.876E-01
   3.550E+06 5.091E+03 1.756E+17 1.075E+01 3.979E+04 8.390E+05 7.690E-12 2.888E-09 2.082E-07 3.898E-03 5.686E-05 1.226E-09 1.088E-06 4.213E+13 3.374E+07 1.576E-01
   3.650E+06 4.355E+03 1.502E+17 7.466E+00 3.883E+04 6.014E+05 1.719E-11 3.235E-09 2.467E-07 3.918E-03 5.720E-05 1.022E-09 1.048E-06 3.604E+13 3.327E+07 1.329E-01
   3.750E+06 3.725E+03 1.285E+17 5.190E+00 3.854E+04 4.307E+05 3.459E-11 3.630E-09 2.988E-07 3.935E-03 5.751E-05 8.519E-10 1.004E-06 3.083E+13 3.299E+07 1.127E-01
   3.850E+06 3.187E+03 1.099E+17 3.633E+00 3.882E+04 3.085E+05 6.418E-11 4.080E-09 3.696E-07 3.949E-03 5.777E-05 7.106E-10 9.556E-07 2.638E+13 3.286E+07 9.688E-02
   3.950E+06 2.726E+03 9.404E+16 2.586E+00 3.941E+04 2.215E+05 1.127E-10 4.586E-09 4.637E-07 3.961E-03 5.801E-05 5.947E-10 9.036E-07 2.257E+13 3.279E+07 8.525E-02
   4.050E+06 2.333E+03 8.046E+16 1.893E+00 3.988E+04 1.602E+05 1.924E-10 5.152E-09 5.847E-07 3.972E-03 5.821E-05 5.013E-10 8.477E-07 1.931E+13 3.265E+07 7.773E-02
   4.150E+06 1.996E+03 6.884E+16 1.437E+00 3.980E+04 1.171E+05 3.251E-10 5.780E-09 7.343E-07 3.981E-03 5.838E-05 4.275E-10 7.875E-07 1.653E+13 3.230E+07 7.425E-02
   4.250E+06 1.708E+03 5.890E+16 1.137E+00 3.886E+04 8.695E+04 5.481E-10 6.473E-09 9.118E-07 3.989E-03 5.854E-05 3.701E-10 7.236E-07 1.415E+13 3.163E+07 7.469E-02
   4.350E+06 1.461E+03 5.040E+16 9.346E-01 3.691E+04 6.570E+04 9.171E-10 7.235E-09 1.115E-06 3.995E-03 5.867E-05 3.263E-10 6.570E-07 1.211E+13 3.058E+07 7.905E-02
   4.450E+06 1.250E+03 4.313E+16 7.919E-01 3.394E+04 5.068E+04 1.507E-09 8.070E-09 1.338E-06 4.001E-03 5.879E-05 2.937E-10 5.880E-07 1.036E+13 2.907E+07 8.745E-02
   4.550E+06 1.070E+03 3.691E+16 6.823E-01 3.009E+04 3.999E+04 2.406E-09 8.983E-09 1.577E-06 4.006E-03 5.889E-05 2.704E-10 5.169E-07 8.872E+12 2.705E+07 1.002E-01
   4.650E+06 9.158E+02 3.159E+16 5.906E-01 2.570E+04 3.231E+04 3.712E-09 9.981E-09 1.826E-06 4.010E-03 5.898E-05 2.551E-10 4.455E-07 7.598E+12 2.456E+07 1.176E-01
   4.750E+06 7.837E+02 2.703E+16 5.074E-01 2.109E+04 2.680E+04 5.522E-09 1.107E-08 2.080E-06 4.014E-03 5.906E-05 2.470E-10 3.752E-07 6.508E+12 2.169E+07 1.401E-01
   4.850E+06 6.708E+02 2.314E+16 4.280E-01 1.660E+04 2.291E+04 7.933E-09 1.225E-08 2.334E-06 4.017E-03 5.913E-05 2.465E-10 3.074E-07 5.578E+12 1.854E+07 1.686E-01
   4.950E+06 5.742E+02 1.980E+16 3.525E-01 1.253E+04 2.031E+04 1.105E-08 1.354E-08 2.587E-06 4.019E-03 5.919E-05 2.551E-10 2.445E-07 4.783E+12 1.529E+07 2.039E-01
   5.050E+06 4.915E+02 1.695E+16 2.825E-01 9.076E+03 1.881E+04 1.498E-08 1.492E-08 2.837E-06 4.021E-03 5.924E-05 2.760E-10 1.887E-07 4.105E+12 1.210E+07 2.473E-01
   5.150E+06 4.207E+02 1.451E+16 2.213E-01 6.351E+03 1.833E+04 1.986E-08 1.640E-08 3.083E-06 4.023E-03 5.929E-05 3.140E-10 1.419E-07 3.525E+12 9.136E+06 3.008E-01
   5.250E+06 3.601E+02 1.242E+16 1.708E-01 4.339E+03 1.876E+04 2.584E-08 1.798E-08 3.326E-06 4.025E-03 5.933E-05 3.752E-10 1.050E-07 3.030E+12 6.583E+06 3.666E-01
   5.350E+06 3.083E+02 1.064E+16 1.308E-01 2.922E+03 1.986E+04 3.309E-08 1.964E-08 3.563E-06 4.026E-03 5.937E-05 4.638E-10 7.710E-08 2.606E+12 4.576E+06 4.468E-01
   5.450E+06 2.640E+02 9.105E+15 9.997E-02 1.946E+03 2.199E+04 4.182E-08 2.136E-08 3.797E-06 4.028E-03 5.940E-05 5.995E-10 5.631E-08 2.243E+12 3.110E+06 5.461E-01
   5.550E+06 2.260E+02 7.796E+15 7.837E-02 1.272E+03 3.116E+04 5.225E-08 2.315E-08 4.025E-06 4.029E-03 5.943E-05 9.921E-10 4.054E-08 1.930E+12 1.744E+06 6.946E-01
   5.650E+06 1.935E+02 6.675E+15 6.475E-02 8.135E+02 5.478E+04 6.469E-08 2.497E-08 4.247E-06 4.030E-03 5.945E-05 2.037E-09 2.869E-08 1.660E+12 7.651E+05 9.469E-01
   5.750E+06 1.657E+02 5.715E+15 5.355E-02 5.161E+02 8.459E+04 7.949E-08 2.681E-08 4.464E-06 4.031E-03 5.947E-05 3.672E-09 2.023E-08 1.424E+12 3.653E+05 1.297E+00
   5.850E+06 1.419E+02 4.894E+15 4.259E-02 3.268E+02 1.101E+05 9.710E-08 2.865E-08 4.676E-06 4.032E-03 5.949E-05 5.582E-09 1.428E-08 1.218E+12 2.007E+05 1.707E+00
   5.950E+06 1.215E+02 4.191E+15 3.240E-02 2.071E+02 1.263E+05 1.181E-07 3.046E-08 4.883E-06 4.032E-03 5.951E-05 7.473E-09 1.012E-08 1.038E+12 1.204E+05 2.139E+00
   6.050E+06 1.041E+02 3.589E+15 2.377E-02 1.320E+02 1.315E+05 1.432E-07 3.225E-08 5.084E-06 4.033E-03 5.953E-05 9.082E-09 7.235E-09 8.813E+11 7.573E+04 2.564E+00
   6.150E+06 8.912E+01 3.074E+15 1.699E-02 8.481E+01 1.270E+05 1.733E-07 3.397E-08 5.280E-06 4.034E-03 5.954E-05 1.024E-08 5.226E-09 7.445E+11 4.870E+04 2.962E+00
   6.250E+06 7.633E+01 2.633E+15 1.195E-02 5.497E+01 1.156E+05 2.098E-07 3.563E-08 5.471E-06 4.034E-03 5.956E-05 1.088E-08 3.817E-09 6.260E+11 3.159E+04 3.331E+00
   6.350E+06 6.537E+01 2.255E+15 8.356E-03 3.603E+01 9.996E+04 2.542E-07 3.720E-08 5.656E-06 4.035E-03 5.957E-05 1.099E-08 2.825E-09 5.238E+11 2.052E+04 3.674E+00
   6.450E+06 5.600E+01 1.932E+15 5.852E-03 2.386E+01 8.282E+04 3.085E-07 3.867E-08 5.835E-06 4.035E-03 5.958E-05 1.062E-08 2.117E-09 4.360E+11 1.329E+04 4.009E+00
   6.550E+06 4.797E+01 1.655E+15 4.120E-03 1.593E+01 6.614E+04 3.746E-07 4.003E-08 6.008E-06 4.036E-03 5.959E-05 9.906E-09 1.602E-09 3.611E+11 8.555E+03 4.353E+00
   6.650E+06 4.109E+01 1.417E+15 2.926E-03 1.073E+01 5.108E+04 4.537E-07 4.126E-08 6.174E-06 4.036E-03 5.960E-05 8.930E-09 1.226E-09 2.976E+11 5.469E+03 4.717E+00
   6.750E+06 3.520E+01 1.214E+15 2.098E-03 7.287E+00 3.826E+04 5.466E-07 4.237E-08 6.332E-06 4.036E-03 5.960E-05 7.807E-09 9.479E-10 2.441E+11 3.472E+03 5.106E+00
   6.850E+06 3.016E+01 1.040E+15 1.519E-03 4.998E+00 2.787E+04 6.527E-07 4.334E-08 6.481E-06 4.037E-03 5.961E-05 6.637E-09 7.414E-10 1.994E+11 2.189E+03 5.517E+00
   6.950E+06 2.584E+01 8.912E+14 1.109E-03 3.463E+00 1.979E+04 7.704E-07 4.419E-08 6.621E-06 4.037E-03 5.961E-05 5.502E-09 5.869E-10 1.623E+11 1.371E+03 5.941E+00
   7.050E+06 2.214E+01 7.636E+14 8.163E-04 2.426E+00 1.375E+04 8.974E-07 4.492E-08 6.751E-06 4.037E-03 5.962E-05 4.459E-09 4.706E-10 1.318E+11 8.544E+02 6.363E+00
   7.150E+06 1.897E+01 6.543E+14 6.052E-04 1.721E+00 9.362E+03 1.031E-06 4.554E-08 6.872E-06 4.037E-03 5.962E-05 3.544E-09 3.827E-10 1.069E+11 5.305E+02 6.769E+00
   7.250E+06 1.625E+01 5.607E+14 4.480E-04 1.228E+00 6.275E+03 1.167E-06 4.606E-08 6.982E-06 4.037E-03 5.962E-05 2.772E-09 3.137E-10 8.646E+10 3.277E+02 7.134E+00
   7.350E+06 1.393E+01 4.805E+14 3.275E-04 8.745E-01 4.148E+03 1.304E-06 4.650E-08 7.082E-06 4.037E-03 5.962E-05 2.139E-09 2.570E-10 6.961E+10 2.011E+02 7.427E+00
   7.450E+06 1.194E+01 4.117E+14 2.361E-04 6.211E-01 2.706E+03 1.438E-06 4.686E-08 7.171E-06 4.037E-03 5.963E-05 1.628E-09 2.104E-10 5.578E+10 1.226E+02 7.636E+00
   7.550E+06 1.023E+01 3.529E+14 1.680E-04 4.401E-01 1.743E+03 1.568E-06 4.715E-08 7.251E-06 4.037E-03 5.963E-05 1.224E-09 1.720E-10 4.451E+10 7.439E+01 7.754E+00
   7.650E+06 8.768E+00 3.024E+14 1.181E-04 3.112E-01 1.110E+03 1.691E-06 4.739E-08 7.321E-06 4.037E-03 5.963E-05 9.087E-10 1.405E-10 3.537E+10 4.495E+01 7.784E+00
   7.750E+06 7.515E+00 2.592E+14 8.212E-05 2.196E-01 6.984E+02 1.805E-06 4.759E-08 7.382E-06 4.037E-03 5.963E-05 6.673E-10 1.148E-10 2.802E+10 2.710E+01 7.731E+00
   7.850E+06 6.441E+00 2.222E+14 5.652E-05 1.548E-01 4.351E+02 1.911E-06 4.774E-08 7.435E-06 4.037E-03 5.963E-05 4.851E-10 9.369E-11 2.212E+10 1.632E+01 7.605E+00
   7.950E+06 5.521E+00 1.904E+14 3.856E-05 1.089E-01 2.686E+02 2.007E-06 4.787E-08 7.480E-06 4.037E-03 5.963E-05 3.494E-10 7.648E-11 1.742E+10 9.836E+00 7.415E+00
   8.050E+06 4.733E+00 1.633E+14 2.611E-05 7.663E-02 1.645E+02 2.092E-06 4.796E-08 7.518E-06 4.037E-03 5.963E-05 2.495E-10 6.244E-11 1.369E+10 5.947E+00 7.174E+00
   8.150E+06 4.057E+00 1.400E+14 1.756E-05 5.387E-02 9.999E+01 2.166E-06 4.804E-08 7.549E-06 4.037E-03 5.963E-05 1.770E-10 5.099E-11 1.074E+10 3.618E+00 6.893E+00
   8.250E+06 3.478E+00 1.200E+14 1.175E-05 3.786E-02 6.040E+01 2.230E-06 4.810E-08 7.576E-06 4.037E-03 5.963E-05 1.247E-10 4.166E-11 8.406E+09 2.222E+00 6.585E+00
   8.350E+06 2.982E+00 1.029E+14 7.830E-06 2.661E-02 3.629E+01 2.285E-06 4.815E-08 7.597E-06 4.037E-03 5.963E-05 8.737E-11 3.406E-11 6.573E+09 1.384E+00 6.260E+00
   8.450E+06 2.557E+00 8.819E+13 5.202E-06 1.872E-02 2.170E+01 2.331E-06 4.819E-08 7.615E-06 4.037E-03 5.963E-05 6.094E-11 2.787E-11 5.134E+09 8.783E-01 5.928E+00
   8.550E+06 2.192E+00 7.562E+13 3.449E-06 1.317E-02 1.293E+01 2.369E-06 4.822E-08 7.630E-06 4.038E-03 5.963E-05 4.234E-11 2.283E-11 4.007E+09 5.711E-01 5.595E+00
   8.650E+06 1.880E+00 6.484E+13 2.285E-06 9.280E-03 7.677E+00 2.400E-06 4.824E-08 7.642E-06 4.038E-03 5.963E-05 2.932E-11 1.873E-11 3.125E+09 3.825E-01 5.269E+00
   8.750E+06 1.612E+00 5.560E+13 1.513E-06 6.547E-03 4.547E+00 2.426E-06 4.826E-08 7.651E-06 4.038E-03 5.963E-05 2.025E-11 1.539E-11 2.437E+09 2.651E-01 4.954E+00
   8.850E+06 1.382E+00 4.768E+13 1.003E-06 4.628E-03 2.688E+00 2.448E-06 4.828E-08 7.659E-06 4.038E-03 5.964E-05 1.396E-11 1.267E-11 1.899E+09 1.905E-01 4.651E+00
   8.950E+06 1.186E+00 4.089E+13 6.663E-07 3.279E-03 1.587E+00 2.465E-06 4.829E-08 7.666E-06 4.038E-03 5.964E-05 9.611E-12 1.046E-11 1.480E+09 1.419E-01 4.363E+00
   9.050E+06 1.017E+00 3.507E+13 4.435E-07 2.329E-03 9.357E-01 2.479E-06 4.830E-08 7.671E-06 4.038E-03 5.964E-05 6.608E-12 8.658E-12 1.153E+09 1.094E-01 4.090E+00
   9.150E+06 8.720E-01 3.008E+13 2.961E-07 1.660E-03 5.514E-01 2.490E-06 4.830E-08 7.675E-06 4.038E-03 5.964E-05 4.540E-12 7.193E-12 8.976E+08 8.689E-02 3.833E+00
   9.250E+06 7.480E-01 2.580E+13 1.985E-07 1.189E-03 3.248E-01 2.499E-06 4.831E-08 7.678E-06 4.038E-03 5.964E-05 3.118E-12 6.002E-12 6.988E+08 7.074E-02 3.590E+00
   9.350E+06 6.416E-01 2.213E+13 1.337E-07 8.560E-04 1.913E-01 2.507E-06 4.831E-08 7.681E-06 4.038E-03 5.964E-05 2.141E-12 5.036E-12 5.438E+08 5.872E-02 3.361E+00
   9.450E+06 5.503E-01 1.898E+13 9.071E-08 6.207E-04 1.126E-01 2.513E-06 4.832E-08 7.683E-06 4.038E-03 5.964E-05 1.470E-12 4.256E-12 4.228E+08 4.946E-02 3.145E+00
   9.550E+06 4.721E-01 1.628E+13 6.204E-08 4.543E-04 6.631E-02 2.517E-06 4.832E-08 7.685E-06 4.038E-03 5.964E-05 1.008E-12 3.631E-12 3.282E+08 4.211E-02 2.939E+00
   9.650E+06 4.050E-01 1.397E+13 4.291E-08 3.367E-04 3.900E-02 2.521E-06 4.832E-08 7.686E-06 4.038E-03 5.964E-05 6.915E-13 3.136E-12 2.544E+08 3.611E-02 2.743E+00
   9.750E+06 3.475E-01 1.199E+13 3.010E-08 2.536E-04 2.292E-02 2.524E-06 4.832E-08 7.687E-06 4.038E-03 5.964E-05 4.735E-13 2.753E-12 1.966E+08 3.110E-02 2.556E+00
   9.850E+06 2.981E-01 1.028E+13 2.152E-08 1.951E-04 1.343E-02 2.527E-06 4.832E-08 7.688E-06 4.038E-03 5.964E-05 3.236E-13 2.468E-12 1.512E+08 2.685E-02 2.375E+00
   9.950E+06 2.558E-01 8.823E+12 1.575E-08 1.543E-04 7.909E-03 2.529E-06 4.833E-08 7.689E-06 4.038E-03 5.964E-05 2.220E-13 2.274E-12 1.157E+08 2.319E-02 2.199E+00
