
     Z         PRESS      DEN     ProOH1    ProOH25    ProO3D    PO2D       PO2      PH2O      PO3D      PH2O2     FO3      FH2O      NumO2      NumOH      NumO1D
   5.000E+04 9.561E+05 2.429E+19 3.409E+05 1.003E+04 2.781E+06 0.000E+00 1.343E-13 3.665E-14 1.992E-05 2.834E-06 5.749E-09 1.127E-02 5.100E+16 1.153E+06 3.786E-03
   1.500E+05 8.499E+05 2.209E+19 2.991E+05 1.188E+04 3.766E+06 0.000E+00 2.486E-13 7.699E-14 2.163E-05 3.080E-06 7.879E-09 6.983E-03 4.650E+16 1.308E+06 5.860E-03
   2.500E+05 7.535E+05 2.006E+19 2.628E+05 1.283E+04 5.404E+06 0.000E+00 4.152E-13 1.540E-13 2.302E-05 3.304E-06 1.171E-08 4.153E-03 4.229E+16 1.482E+06 9.485E-03
   3.500E+05 6.661E+05 1.816E+19 2.045E+05 1.280E+04 7.580E+06 0.000E+00 6.595E-13 3.117E-13 2.396E-05 3.508E-06 1.742E-08 2.261E-03 3.838E+16 1.558E+06 1.488E-02
   4.500E+05 5.874E+05 1.629E+19 1.733E+05 1.466E+04 1.018E+07 0.000E+00 1.011E-12 6.350E-13 2.489E-05 3.696E-06 2.510E-08 1.417E-03 3.449E+16 1.710E+06 2.234E-02
   5.500E+05 5.167E+05 1.464E+19 1.235E+05 1.471E+04 1.308E+07 0.000E+00 1.507E-12 1.283E-12 2.553E-05 3.872E-06 3.499E-08 7.831E-04 3.105E+16 1.713E+06 3.190E-02
   6.500E+05 4.532E+05 1.317E+19 7.247E+04 1.223E+04 1.606E+07 0.000E+00 2.179E-12 2.483E-12 2.591E-05 4.040E-06 4.705E-08 3.740E-04 2.798E+16 1.568E+06 4.326E-02
   7.500E+05 3.961E+05 1.182E+19 3.780E+04 8.929E+03 1.889E+07 0.000E+00 3.051E-12 4.546E-12 2.618E-05 4.203E-06 6.105E-08 1.662E-04 2.514E+16 1.384E+06 5.619E-02
   8.500E+05 3.450E+05 1.058E+19 1.715E+04 5.726E+03 2.140E+07 0.000E+00 4.145E-12 8.101E-12 2.638E-05 4.363E-06 7.667E-08 6.682E-05 2.252E+16 1.205E+06 7.031E-02
   9.500E+05 2.988E+05 9.621E+18 3.621E+03 1.766E+03 2.338E+07 4.394-276 5.491E-12 1.409E-11 2.579E-05 4.525E-06 9.424E-08 1.303E-05 2.049E+16 9.978E+05 8.260E-02
   1.050E+06 2.567E+05 8.854E+18 2.802E+02 1.867E+02 2.571E+07 1.488-226 7.147E-12 2.268E-11 2.435E-05 4.693E-06 1.192E-07 9.298E-07 1.886E+16 9.415E+05 9.533E-02
   1.150E+06 2.193E+05 7.564E+18 3.583E+02 2.459E+02 3.254E+07 1.150-196 9.150E-12 3.461E-11 2.570E-05 4.869E-06 1.674E-07 9.394E-07 1.611E+16 9.096E+05 1.412E-01
   1.250E+06 1.873E+05 6.462E+18 5.222E+02 3.192E+02 4.635E+07 4.289-171 1.158E-11 5.139E-11 2.739E-05 5.057E-06 2.619E-07 9.613E-07 1.376E+16 8.982E+05 2.354E-01
   1.350E+06 1.601E+05 5.521E+18 8.098E+02 4.240E+02 6.867E+07 3.526-149 1.473E-11 7.632E-11 2.979E-05 5.273E-06 4.175E-07 1.006E-06 1.176E+16 1.015E+06 4.083E-01
   1.450E+06 1.368E+05 4.718E+18 1.235E+03 5.898E+02 9.734E+07 2.384-130 1.911E-11 1.155E-10 3.349E-05 5.541E-06 6.160E-07 1.082E-06 1.004E+16 1.262E+06 6.774E-01
   1.550E+06 1.169E+05 4.031E+18 1.801E+03 8.589E+02 1.291E+08 4.029-114 2.541E-11 1.790E-10 3.926E-05 5.891E-06 8.157E-07 1.191E-06 8.581E+15 1.599E+06 1.051E+00
   1.650E+06 9.986E+04 3.445E+18 2.543E+03 1.289E+03 1.632E+08 4.290-100 3.442E-11 2.816E-10 4.803E-05 6.353E-06 9.866E-07 1.329E-06 7.332E+15 2.052E+06 1.556E+00
   1.750E+06 8.534E+04 2.944E+18 3.487E+03 1.947E+03 1.996E+08 6.144E-88 4.701E-11 4.437E-10 6.104E-05 6.959E-06 1.111E-06 1.491E-06 6.264E+15 2.676E+06 2.225E+00
   1.850E+06 7.293E+04 2.516E+18 4.658E+03 2.898E+03 2.382E+08 2.199E-77 6.406E-11 6.903E-10 7.996E-05 7.746E-06 1.184E-06 1.669E-06 5.353E+15 3.549E+06 3.108E+00
   1.950E+06 6.233E+04 2.150E+18 6.051E+03 4.186E+03 2.786E+08 3.269E-68 8.640E-11 1.051E-09 1.072E-04 8.756E-06 1.209E-06 1.853E-06 4.574E+15 4.773E+06 4.253E+00
   2.050E+06 5.327E+04 1.838E+18 7.623E+03 5.817E+03 3.196E+08 3.073E-60 1.148E-10 1.556E-09 1.465E-04 1.004E-05 1.187E-06 2.035E-06 3.909E+15 6.483E+06 5.710E+00
   2.150E+06 4.553E+04 1.571E+18 9.328E+03 7.750E+03 3.604E+08 2.601E-53 1.500E-10 2.234E-09 2.045E-04 1.168E-05 1.122E-06 2.208E-06 3.341E+15 8.852E+06 7.533E+00
   2.250E+06 3.892E+04 1.343E+18 1.113E+04 9.899E+03 4.008E+08 2.689E-47 1.923E-10 3.112E-09 2.943E-04 1.376E-05 1.015E-06 2.369E-06 2.856E+15 1.209E+07 9.800E+00
   2.350E+06 3.327E+04 1.148E+18 1.291E+04 1.214E+04 4.381E+08 4.425E-42 2.413E-10 4.206E-09 4.389E-04 1.639E-05 8.699E-07 2.515E-06 2.441E+15 1.632E+07 1.253E+01
   2.450E+06 2.844E+04 9.810E+17 1.422E+04 1.434E+04 4.591E+08 1.461E-37 2.956E-10 5.533E-09 6.644E-04 1.966E-05 7.044E-07 2.642E-06 2.087E+15 2.118E+07 1.536E+01
   2.550E+06 2.431E+04 8.387E+17 1.435E+04 1.641E+04 4.453E+08 1.184E-33 3.528E-10 7.116E-09 9.766E-04 2.346E-05 5.437E-07 2.750E-06 1.784E+15 2.559E+07 1.743E+01
   2.650E+06 2.079E+04 7.170E+17 1.314E+04 1.832E+04 3.948E+08 2.821E-30 4.104E-10 8.998E-09 1.346E-03 2.748E-05 4.090E-07 2.839E-06 1.525E+15 2.861E+07 1.808E+01
   2.750E+06 1.777E+04 6.130E+17 1.106E+04 2.007E+04 3.243E+08 2.310E-27 4.672E-10 1.125E-08 1.729E-03 3.139E-05 3.060E-07 2.910E-06 1.304E+15 3.023E+07 1.737E+01
   2.850E+06 1.520E+04 5.242E+17 8.752E+03 2.170E+04 2.517E+08 7.479E-25 5.232E-10 1.396E-08 2.090E-03 3.494E-05 2.298E-07 2.966E-06 1.115E+15 3.094E+07 1.576E+01
   2.950E+06 1.299E+04 4.482E+17 6.606E+03 2.324E+04 1.873E+08 1.083E-22 5.788E-10 1.723E-08 2.412E-03 3.806E-05 1.733E-07 3.009E-06 9.535E+14 3.123E+07 1.372E+01
   3.050E+06 1.111E+04 3.833E+17 4.814E+03 2.469E+04 1.351E+08 7.830E-21 6.348E-10 2.119E-08 2.689E-03 4.072E-05 1.311E-07 3.040E-06 8.154E+14 3.139E+07 1.157E+01
   3.150E+06 9.502E+03 3.277E+17 3.415E+03 2.602E+04 9.519E+07 3.106E-19 6.921E-10 2.594E-08 2.917E-03 4.291E-05 9.958E-08 3.061E-06 6.972E+14 3.155E+07 9.534E+00
   3.250E+06 8.126E+03 2.803E+17 2.377E+03 2.721E+04 6.600E+07 7.348E-18 7.519E-10 3.160E-08 3.097E-03 4.468E-05 7.603E-08 3.073E-06 5.963E+14 3.175E+07 7.730E+00
   3.350E+06 6.949E+03 2.397E+17 1.633E+03 2.821E+04 4.532E+07 1.114E-16 8.152E-10 3.827E-08 3.237E-03 4.608E-05 5.841E-08 3.075E-06 5.099E+14 3.195E+07 6.206E+00
   3.450E+06 5.944E+03 2.050E+17 1.114E+03 2.896E+04 3.097E+07 1.153E-15 8.831E-10 4.602E-08 3.342E-03 4.719E-05 4.520E-08 3.070E-06 4.361E+14 3.212E+07 4.959E+00
   3.550E+06 5.084E+03 1.754E+17 7.575E+02 2.942E+04 2.114E+07 8.591E-15 9.563E-10 5.489E-08 3.421E-03 4.806E-05 3.524E-08 3.057E-06 3.730E+14 3.221E+07 3.958E+00
   3.650E+06 4.348E+03 1.500E+17 5.143E+02 2.959E+04 1.445E+07 4.830E-14 1.036E-09 6.496E-08 3.480E-03 4.875E-05 2.768E-08 3.036E-06 3.190E+14 3.219E+07 3.162E+00
   3.750E+06 3.720E+03 1.283E+17 3.490E+02 2.948E+04 9.894E+06 2.133E-13 1.122E-09 7.636E-08 3.525E-03 4.930E-05 2.188E-08 3.009E-06 2.729E+14 3.207E+07 2.532E+00
   3.850E+06 3.182E+03 1.098E+17 2.366E+02 2.923E+04 6.783E+06 7.658E-13 1.215E-09 8.952E-08 3.559E-03 4.975E-05 1.737E-08 2.976E-06 2.334E+14 3.189E+07 2.029E+00
   3.950E+06 2.722E+03 9.389E+16 1.599E+02 2.905E+04 4.646E+06 2.302E-12 1.316E-09 1.054E-07 3.585E-03 5.011E-05 1.380E-08 2.936E-06 1.997E+14 3.174E+07 1.625E+00
   4.050E+06 2.329E+03 8.033E+16 1.074E+02 2.920E+04 3.168E+06 5.945E-12 1.426E-09 1.258E-07 3.605E-03 5.041E-05 1.094E-08 2.889E-06 1.708E+14 3.178E+07 1.296E+00
   4.150E+06 1.992E+03 6.872E+16 7.145E+01 2.996E+04 2.146E+06 1.347E-11 1.546E-09 1.537E-07 3.620E-03 5.066E-05 8.624E-09 2.836E-06 1.462E+14 3.213E+07 1.027E+00
   4.250E+06 1.705E+03 5.880E+16 4.714E+01 3.153E+04 1.442E+06 2.729E-11 1.678E-09 1.932E-07 3.633E-03 5.088E-05 6.752E-09 2.776E-06 1.251E+14 3.287E+07 8.089E-01
   4.350E+06 1.459E+03 5.031E+16 3.099E+01 3.392E+04 9.652E+05 5.022E-11 1.825E-09 2.489E-07 3.642E-03 5.105E-05 5.267E-09 2.709E-06 1.070E+14 3.397E+07 6.367E-01
   4.450E+06 1.248E+03 4.305E+16 2.045E+01 3.692E+04 6.468E+05 8.509E-11 1.987E-09 3.255E-07 3.650E-03 5.121E-05 4.116E-09 2.635E-06 9.156E+13 3.530E+07 5.049E-01
   4.550E+06 1.068E+03 3.684E+16 1.368E+01 4.014E+04 4.365E+05 1.343E-10 2.170E-09 4.269E-07 3.656E-03 5.134E-05 3.240E-09 2.552E-06 7.835E+13 3.667E+07 4.074E-01
   4.650E+06 9.140E+02 3.153E+16 9.356E+00 4.311E+04 2.980E+05 1.993E-10 2.376E-09 5.557E-07 3.662E-03 5.145E-05 2.582E-09 2.461E-06 6.704E+13 3.789E+07 3.378E-01
   4.750E+06 7.822E+02 2.698E+16 6.587E+00 4.538E+04 2.064E+05 2.806E-10 2.610E-09 7.125E-07 3.666E-03 5.155E-05 2.086E-09 2.360E-06 5.738E+13 3.882E+07 2.897E-01
   4.850E+06 6.695E+02 2.309E+16 4.788E+00 4.656E+04 1.450E+05 3.773E-10 2.878E-09 8.959E-07 3.670E-03 5.164E-05 1.711E-09 2.250E-06 4.910E+13 3.934E+07 2.580E-01
   4.950E+06 5.730E+02 1.976E+16 3.589E+00 4.642E+04 1.033E+05 4.875E-10 3.184E-09 1.102E-06 3.673E-03 5.171E-05 1.424E-09 2.131E-06 4.203E+13 3.940E+07 2.387E-01
   5.050E+06 4.905E+02 1.692E+16 2.763E+00 4.495E+04 7.460E+04 6.084E-10 3.533E-09 1.327E-06 3.675E-03 5.178E-05 1.200E-09 2.003E-06 3.597E+13 3.896E+07 2.284E-01
   5.150E+06 4.198E+02 1.448E+16 2.170E+00 4.227E+04 5.448E+04 7.370E-10 3.931E-09 1.563E-06 3.677E-03 5.184E-05 1.023E-09 1.867E-06 3.079E+13 3.805E+07 2.248E-01
   5.250E+06 3.594E+02 1.240E+16 1.728E+00 3.868E+04 4.018E+04 8.722E-10 4.381E-09 1.806E-06 3.679E-03 5.189E-05 8.811E-10 1.728E-06 2.636E+13 3.670E+07 2.260E-01
