 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  1.16E+14 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
  INITIAL MIXING RATIO OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  77.5   1.86E-10 1.29E-06 7.54E-06 2.57E-08 1.01E-08 7.21E-09 4.90E-08 2.45E-08 9.21E-07 1.31E-13
  79.5   2.14E-10 1.84E-06 6.60E-06 3.42E-08 1.19E-08 6.73E-09 3.38E-08 1.69E-08 1.26E-06 6.78E-14
  81.5   2.61E-10 1.38E-05 5.46E-06 1.30E-08 4.75E-09 3.13E-09 9.17E-08 4.58E-08 1.69E-06 2.59E-14
  83.5   1.56E-10 1.24E-04 4.32E-06 3.20E-09 8.86E-10 9.39E-10 3.52E-07 1.76E-07 2.20E-06 8.96E-15
  85.5   6.99E-11 4.82E-04 3.35E-06 1.49E-09 2.46E-10 2.72E-10 7.37E-07 3.69E-07 2.72E-06 3.08E-15
  87.5   3.39E-11 1.27E-03 2.57E-06 8.24E-10 8.28E-11 7.78E-11 1.03E-06 5.13E-07 3.26E-06 1.07E-15
  89.5   1.94E-11 2.64E-03 1.96E-06 4.84E-10 3.22E-11 2.19E-11 1.19E-06 5.93E-07 3.81E-06 3.71E-16
  91.5   1.13E-11 4.72E-03 1.50E-06 2.78E-10 1.36E-11 6.07E-12 1.10E-06 5.49E-07 4.37E-06 1.30E-16
  93.5   7.30E-12 7.60E-03 1.15E-06 1.59E-10 6.20E-12 1.65E-12 9.37E-07 4.68E-07 4.94E-06 4.58E-17
  95.5   5.17E-12 1.13E-02 8.87E-07 8.99E-11 3.01E-12 4.49E-13 7.35E-07 3.67E-07 5.50E-06 1.64E-17
  97.5   3.95E-12 1.57E-02 7.10E-07 4.97E-11 1.53E-12 1.26E-13 5.28E-07 2.64E-07 6.06E-06 6.23E-18
  99.5   3.25E-12 2.06E-02 6.07E-07 2.69E-11 8.13E-13 4.84E-14 3.49E-07 1.75E-07 6.61E-06 3.14E-18
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
 
Alt(km)  CH3QOH   CH3OQ    CH3QO    N2Q      NQ       NOQ      HNOQ     HNO2Q    HOQNO2   HO2NOQ  
   0.5   1.27E-09 8.62E-12 8.62E-12 2.96E-07 3.78E-12 1.63E-11 5.43E-14 1.98E-10 1.64E-13 3.28E-13
   1.5   1.27E-09 8.47E-12 8.47E-12 2.96E-07 4.68E-12 1.88E-11 7.32E-14 3.02E-10 4.15E-13 8.30E-13
   2.5   1.18E-09 8.10E-12 8.10E-12 2.96E-07 5.81E-12 2.19E-11 9.78E-14 4.37E-10 1.09E-12 2.18E-12
   3.5   9.93E-10 7.20E-12 7.20E-12 2.95E-07 7.46E-12 2.61E-11 1.30E-13 5.74E-10 2.93E-12 5.85E-12
   5.5   5.60E-10 4.81E-12 4.81E-12 2.95E-07 1.21E-11 3.37E-11 2.03E-13 7.84E-10 1.87E-11 3.74E-11
   7.5   2.69E-10 2.86E-12 2.86E-12 2.95E-07 1.46E-11 2.91E-11 1.90E-13 8.56E-10 5.32E-11 1.06E-10
   9.5   1.11E-10 1.45E-12 1.45E-12 2.95E-07 2.26E-11 3.00E-11 2.44E-13 9.07E-10 6.27E-11 1.25E-10
  11.5   2.49E-11 5.37E-13 5.37E-13 2.94E-07 4.47E-11 4.11E-11 4.08E-13 1.12E-09 4.26E-11 8.52E-11
  13.5   4.72E-12 3.17E-13 3.17E-13 2.91E-07 7.95E-11 1.00E-10 4.61E-13 2.22E-09 4.04E-11 8.09E-11
  15.5   1.69E-12 1.95E-13 1.95E-13 2.82E-07 1.44E-10 3.02E-10 5.53E-13 5.37E-09 6.42E-11 1.28E-10
  17.5   1.28E-12 1.61E-13 1.61E-13 2.65E-07 2.29E-10 7.03E-10 6.81E-13 1.07E-08 1.15E-10 2.29E-10
  19.5   1.57E-12 1.75E-13 1.75E-13 2.42E-07 3.22E-10 1.25E-09 8.63E-13 1.76E-08 1.87E-10 3.75E-10
  21.5   2.67E-12 2.38E-13 2.38E-13 2.17E-07 4.15E-10 1.89E-09 1.11E-12 2.47E-08 2.74E-10 5.48E-10
  23.5   5.19E-12 3.73E-13 3.73E-13 1.90E-07 5.18E-10 2.63E-09 1.47E-12 3.15E-08 3.67E-10 7.34E-10
  25.5   9.16E-12 5.72E-13 5.72E-13 1.63E-07 6.74E-10 3.66E-09 2.10E-12 3.71E-08 4.46E-10 8.92E-10
  27.5   1.34E-11 8.14E-13 8.14E-13 1.35E-07 9.49E-10 5.26E-09 3.29E-12 4.08E-08 4.93E-10 9.86E-10
  29.5   1.57E-11 1.06E-12 1.06E-12 1.08E-07 1.45E-09 7.63E-09 5.71E-12 4.17E-08 4.76E-10 9.52E-10
  31.5   1.47E-11 1.27E-12 1.27E-12 8.24E-08 2.34E-09 1.05E-08 1.05E-11 3.95E-08 3.77E-10 7.54E-10
  33.5   1.15E-11 1.48E-12 1.48E-12 5.98E-08 3.83E-09 1.33E-08 1.91E-11 3.38E-08 2.34E-10 4.68E-10
  35.5   7.89E-12 1.69E-12 1.69E-12 4.17E-08 6.09E-09 1.46E-08 3.10E-11 2.54E-08 1.14E-10 2.28E-10
  37.5   5.16E-12 1.90E-12 1.90E-12 2.84E-08 8.98E-09 1.34E-08 4.50E-11 1.65E-08 4.48E-11 8.96E-11
  39.5   3.54E-12 2.17E-12 2.17E-12 1.93E-08 1.20E-08 9.95E-09 5.67E-11 8.88E-09 1.47E-11 2.95E-11
  41.5   2.74E-12 2.44E-12 2.44E-12 1.31E-08 1.42E-08 6.01E-09 5.56E-11 3.70E-09 4.47E-12 8.95E-12
  43.5   2.39E-12 2.66E-12 2.66E-12 9.10E-09 1.49E-08 3.26E-09 4.11E-11 1.26E-09 1.38E-12 2.76E-12
  45.5   2.22E-12 2.85E-12 2.85E-12 6.44E-09 1.45E-08 1.75E-09 2.54E-11 3.95E-10 4.46E-13 8.92E-13
  47.5   2.12E-12 3.06E-12 3.06E-12 4.65E-09 1.37E-08 9.64E-10 1.44E-11 1.24E-10 1.51E-13 3.02E-13
