5.000E+04  9.56E+05  1.53E-08  1.13E-02
1.500E+05  8.50E+05  1.83E-08  6.98E-03
2.500E+05  7.53E+05  2.27E-08  4.15E-03
3.500E+05  6.65E+05  2.82E-08  2.26E-03
4.500E+05  5.87E+05  3.46E-08  1.42E-03
5.500E+05  5.16E+05  4.16E-08  7.82E-04
6.500E+05  4.52E+05  4.92E-08  3.73E-04
7.500E+05  3.95E+05  5.73E-08  1.66E-04
8.500E+05  3.44E+05  6.60E-08  6.65E-05
9.500E+05  2.98E+05  7.58E-08  1.29E-05
1.050E+06  2.56E+05  9.04E-08  9.07E-07
1.150E+06  2.18E+05  1.21E-07  9.12E-07
1.250E+06  1.87E+05  1.88E-07  9.24E-07
1.350E+06  1.59E+05  3.21E-07  9.50E-07
1.450E+06  1.36E+05  5.35E-07  9.94E-07
1.550E+06  1.16E+05  8.20E-07  1.06E-06
1.650E+06  9.94E+04  1.16E-06  1.14E-06
1.750E+06  8.52E+04  1.54E-06  1.24E-06
1.850E+06  7.30E+04  1.92E-06  1.36E-06
1.950E+06  6.27E+04  2.30E-06  1.48E-06
2.050E+06  5.38E+04  2.65E-06  1.61E-06
2.150E+06  4.62E+04  2.95E-06  1.74E-06
2.250E+06  3.97E+04  3.19E-06  1.87E-06
2.350E+06  3.42E+04  3.37E-06  1.99E-06
2.450E+06  2.94E+04  3.49E-06  2.11E-06
2.550E+06  2.53E+04  3.53E-06  2.23E-06
2.650E+06  2.18E+04  3.51E-06  2.35E-06
2.750E+06  1.88E+04  3.43E-06  2.46E-06
2.850E+06  1.62E+04  3.28E-06  2.57E-06
2.950E+06  1.40E+04  3.08E-06  2.67E-06
3.050E+06  1.21E+04  2.82E-06  2.77E-06
3.150E+06  1.05E+04  2.53E-06  2.86E-06
3.250E+06  9.08E+03  2.20E-06  2.94E-06
3.350E+06  7.87E+03  1.86E-06  3.01E-06
3.450E+06  6.83E+03  1.56E-06  3.07E-06
3.550E+06  5.94E+03  1.31E-06  3.12E-06
3.650E+06  5.17E+03  1.11E-06  3.15E-06
3.750E+06  4.50E+03  9.88E-07  3.17E-06
3.850E+06  3.92E+03  8.77E-07  3.18E-06
3.950E+06  3.40E+03  7.76E-07  3.18E-06
4.050E+06  2.95E+03  6.89E-07  3.17E-06
4.150E+06  2.56E+03  6.08E-07  3.15E-06
4.250E+06  2.21E+03  5.32E-07  3.13E-06
4.350E+06  1.91E+03  4.57E-07  3.10E-06
4.450E+06  1.65E+03  3.89E-07  3.07E-06
4.550E+06  1.42E+03  3.29E-07  3.03E-06
4.650E+06  1.22E+03  2.76E-07  2.99E-06
4.750E+06  1.05E+03  2.30E-07  2.95E-06
4.850E+06  8.96E+02  1.89E-07  2.90E-06
4.950E+06  7.67E+02  1.54E-07  2.85E-06
5.050E+06  6.56E+02  1.22E-07  2.80E-06
5.150E+06  5.61E+02  9.56E-08  2.74E-06
5.250E+06  4.79E+02  7.40E-08  2.68E-06
5.350E+06  4.09E+02  5.71E-08  2.61E-06
5.450E+06  3.49E+02  4.42E-08  2.55E-06
5.550E+06  2.97E+02  3.45E-08  2.47E-06
5.650E+06  2.53E+02  2.73E-08  2.39E-06
5.750E+06  2.15E+02  2.19E-08  2.31E-06
5.850E+06  1.83E+02  1.78E-08  2.22E-06
5.950E+06  1.56E+02  1.46E-08  2.13E-06
6.050E+06  1.32E+02  1.19E-08  2.04E-06
6.150E+06  1.12E+02  9.84E-09  1.93E-06
6.250E+06  9.53E+01  8.22E-09  1.83E-06
6.350E+06  8.10E+01  6.95E-09  1.72E-06
6.450E+06  6.88E+01  5.93E-09  1.62E-06
6.550E+06  5.85E+01  5.12E-09  1.51E-06
6.650E+06  4.97E+01  4.45E-09  1.40E-06
6.750E+06  4.22E+01  3.75E-09  1.29E-06
6.850E+06  3.59E+01  3.08E-09  1.19E-06
6.950E+06  3.05E+01  4.72E-09  1.07E-06
7.050E+06  2.59E+01  1.49E-08  9.44E-07
7.150E+06  2.20E+01  3.25E-08  8.33E-07
7.250E+06  1.87E+01  5.34E-08  7.34E-07
7.350E+06  1.59E+01  7.58E-08  6.44E-07
7.450E+06  1.35E+01  9.79E-08  5.63E-07
7.550E+06  1.15E+01  1.18E-07  4.90E-07
7.650E+06  9.76E+00  1.35E-07  4.26E-07
7.750E+06  8.30E+00  1.48E-07  3.69E-07
7.850E+06  7.06E+00  1.56E-07  3.18E-07
7.950E+06  6.00E+00  1.65E-07  2.74E-07
8.050E+06  5.09E+00  1.75E-07  2.35E-07
8.150E+06  4.31E+00  1.75E-07  2.02E-07
8.250E+06  3.64E+00  1.77E-07  1.73E-07
8.350E+06  3.08E+00  1.67E-07  1.48E-07
8.450E+06  2.59E+00  1.58E-07  1.27E-07
8.550E+06  2.18E+00  1.46E-07  1.08E-07
8.650E+06  1.84E+00  1.26E-07  9.26E-08
8.750E+06  1.54E+00  1.07E-07  7.90E-08
8.850E+06  1.30E+00  8.95E-08  6.74E-08
8.950E+06  1.09E+00  7.37E-08  5.75E-08
9.050E+06  9.19E-01  5.83E-08  4.91E-08
9.150E+06  7.74E-01  4.46E-08  4.19E-08
9.250E+06  6.54E-01  3.46E-08  3.59E-08
9.350E+06  5.52E-01  2.63E-08  3.08E-08
9.450E+06  4.67E-01  1.98E-08  2.65E-08
9.550E+06  3.96E-01  1.49E-08  2.30E-08
9.650E+06  3.36E-01  1.11E-08  2.02E-08
9.750E+06  2.85E-01  8.14E-09  1.79E-08
9.850E+06  2.43E-01  5.89E-09  1.61E-08
9.950E+06  2.07E-01  4.28E-09  1.49E-08
