TTAB
 2.2E-03 2.0E-03 1.6E-03 1.3E-03 1.0E-03 7.0E-04 4.7E-04 2.9E-04 1.7E-04 9.9E-05 5.6E-05 3.2E-05 1.7E-05 1.0E-05 5.2E-06 3.0E-06 1.6E-06
 8.0E-07 3.8E-07 2.0E-07 1.1E-07 5.6E-08 3.0E-08 1.8E-08 1.2E-08 7.9E-09 5.5E-09 3.9E-09 2.9E-09 2.1E-09 1.7E-09 1.4E-09 1.2E-09 1.0E-09
 4.6E-03 4.2E-03 3.3E-03 2.6E-03 2.1E-03 1.5E-03 9.9E-04 6.3E-04 3.7E-04 2.2E-04 1.2E-04 7.0E-05 3.9E-05 2.2E-05 1.2E-05 6.8E-06 3.7E-06
 1.9E-06 9.5E-07 5.1E-07 2.9E-07 1.5E-07 8.4E-08 5.2E-08 3.4E-08 2.3E-08 1.7E-08 1.2E-08 8.8E-09 6.7E-09 5.4E-09 4.5E-09 3.8E-09 3.2E-09
 9.0E-03 8.2E-03 6.5E-03 5.2E-03 4.3E-03 3.0E-03 2.0E-03 1.3E-03 7.8E-04 4.5E-04 2.6E-04 1.5E-04 8.4E-05 4.9E-05 2.6E-05 1.5E-05 8.4E-06
 4.4E-06 2.3E-06 1.2E-06 7.1E-07 3.9E-07 2.2E-07 1.4E-07 9.5E-08 6.6E-08 4.7E-08 3.4E-08 2.6E-08 2.0E-08 1.6E-08 1.3E-08 1.1E-08 9.5E-09
 1.7E-02 1.6E-02 1.2E-02 1.0E-02 8.3E-03 5.8E-03 4.0E-03 2.5E-03 1.5E-03 9.1E-04 5.3E-04 3.1E-04 1.7E-04 1.0E-04 5.5E-05 3.2E-05 1.8E-05
 9.8E-06 5.1E-06 2.9E-06 1.7E-06 9.6E-07 5.7E-07 3.7E-07 2.5E-07 1.7E-07 1.3E-07 9.3E-08 7.0E-08 5.4E-08 4.4E-08 3.7E-08 3.1E-08 2.6E-08
 3.1E-02 2.9E-02 2.3E-02 1.9E-02 1.5E-02 1.1E-02 7.6E-03 4.9E-03 3.0E-03 1.8E-03 1.0E-03 6.1E-04 3.5E-04 2.1E-04 1.1E-04 6.7E-05 3.8E-05
 2.1E-05 1.1E-05 6.4E-06 3.9E-06 2.3E-06 1.4E-06 9.0E-07 6.2E-07 4.4E-07 3.2E-07 2.4E-07 1.8E-07 1.4E-07 1.2E-07 9.8E-08 8.2E-08 7.0E-08
 5.6E-02 5.1E-02 4.1E-02 3.4E-02 2.8E-02 2.0E-02 1.4E-02 9.0E-03 5.6E-03 3.3E-03 2.0E-03 1.2E-03 6.7E-04 4.0E-04 2.2E-04 1.3E-04 7.7E-05
 4.3E-05 2.4E-05 1.4E-05 8.6E-06 5.1E-06 3.2E-06 2.1E-06 1.5E-06 1.1E-06 7.9E-07 5.9E-07 4.6E-07 3.6E-07 3.0E-07 2.5E-07 2.1E-07 1.8E-07
 9.7E-02 8.9E-02 7.2E-02 5.9E-02 5.0E-02 3.6E-02 2.5E-02 1.6E-02 1.0E-02 6.1E-03 3.6E-03 2.2E-03 1.3E-03 7.6E-04 4.3E-04 2.6E-04 1.5E-04
 8.6E-05 4.9E-05 2.9E-05 1.8E-05 1.1E-05 7.1E-06 4.8E-06 3.4E-06 2.5E-06 1.8E-06 1.4E-06 1.1E-06 8.7E-07 7.1E-07 6.0E-07 5.0E-07 4.3E-07
 1.6E-01 1.5E-01 1.2E-01 1.0E-01 8.5E-02 6.2E-02 4.3E-02 2.9E-02 1.8E-02 1.1E-02 6.5E-03 3.9E-03 2.3E-03 1.4E-03 8.0E-04 4.9E-04 2.9E-04
 1.7E-04 9.7E-05 5.9E-05 3.8E-05 2.3E-05 1.5E-05 1.1E-05 7.5E-06 5.5E-06 4.2E-06 3.2E-06 2.5E-06 2.0E-06 1.7E-06 1.4E-06 1.2E-06 1.0E-06
 2.7E-01 2.5E-01 2.0E-01 1.7E-01 1.4E-01 1.0E-01 7.4E-02 4.9E-02 3.1E-02 1.9E-02 1.1E-02 6.9E-03 4.1E-03 2.5E-03 1.5E-03 9.0E-04 5.4E-04
 3.2E-04 1.9E-04 1.2E-04 7.5E-05 4.8E-05 3.2E-05 2.2E-05 1.6E-05 1.2E-05 9.0E-06 7.0E-06 5.5E-06 4.4E-06 3.7E-06 3.1E-06 2.6E-06 2.2E-06
 4.3E-01 4.0E-01 3.3E-01 2.8E-01 2.3E-01 1.7E-01 1.2E-01 8.1E-02 5.2E-02 3.2E-02 1.9E-02 1.2E-02 7.1E-03 4.4E-03 2.6E-03 1.6E-03 9.8E-04
 5.8E-04 3.5E-04 2.2E-04 1.5E-04 9.5E-05 6.4E-05 4.5E-05 3.3E-05 2.5E-05 1.9E-05 1.5E-05 1.2E-05 9.5E-06 7.9E-06 6.6E-06 5.6E-06 4.8E-06
 6.8E-01 6.3E-01 5.3E-01 4.4E-01 3.7E-01 2.8E-01 2.0E-01 1.3E-01 8.5E-02 5.3E-02 3.3E-02 2.0E-02 1.2E-02 7.5E-03 4.5E-03 2.8E-03 1.7E-03
 1.0E-03 6.4E-04 4.1E-04 2.7E-04 1.8E-04 1.2E-04 8.9E-05 6.6E-05 5.0E-05 3.8E-05 3.0E-05 2.4E-05 2.0E-05 1.6E-05 1.4E-05 1.2E-05 1.0E-05
 1.1E+00 9.8E-01 8.2E-01 6.9E-01 5.9E-01 4.4E-01 3.1E-01 2.1E-01 1.4E-01 8.6E-02 5.3E-02 3.3E-02 2.0E-02 1.3E-02 7.6E-03 4.8E-03 3.0E-03
 1.8E-03 1.1E-03 7.4E-04 5.0E-04 3.4E-04 2.4E-04 1.7E-04 1.3E-04 9.7E-05 7.5E-05 6.0E-05 4.8E-05 4.0E-05 3.3E-05 2.8E-05 2.4E-05 2.0E-05
 1.6E+00 1.5E+00 1.2E+00 1.0E+00 9.0E-01 6.7E-01 4.9E-01 3.3E-01 2.2E-01 1.4E-01 8.5E-02 5.3E-02 3.3E-02 2.1E-02 1.3E-02 8.1E-03 5.1E-03
 3.2E-03 2.0E-03 1.3E-03 9.0E-04 6.2E-04 4.4E-04 3.2E-04 2.4E-04 1.8E-04 1.4E-04 1.2E-04 9.3E-05 7.7E-05 6.4E-05 5.4E-05 4.6E-05 4.0E-05
 2.4E+00 2.2E+00 1.9E+00 1.6E+00 1.4E+00 1.0E+00 7.4E-01 5.1E-01 3.3E-01 2.1E-01 1.3E-01 8.4E-02 5.2E-02 3.3E-02 2.0E-02 1.3E-02 8.4E-03
 5.3E-03 3.4E-03 2.3E-03 1.6E-03 1.1E-03 7.9E-04 5.8E-04 4.4E-04 3.4E-04 2.7E-04 2.2E-04 1.8E-04 1.5E-04 1.2E-04 1.0E-04 8.9E-05 7.7E-05
 3.5E+00 3.3E+00 2.7E+00 2.3E+00 2.0E+00 1.5E+00 1.1E+00 7.6E-01 5.1E-01 3.2E-01 2.1E-01 1.3E-01 8.2E-02 5.3E-02 3.3E-02 2.1E-02 1.4E-02
 8.8E-03 5.7E-03 3.9E-03 2.7E-03 1.9E-03 1.4E-03 1.0E-03 7.9E-04 6.1E-04 4.9E-04 3.9E-04 3.2E-04 2.7E-04 2.3E-04 1.9E-04 1.6E-04 1.4E-04
 5.0E+00 4.7E+00 4.0E+00 3.4E+00 2.9E+00 2.2E+00 1.6E+00 1.1E+00 7.6E-01 4.9E-01 3.1E-01 2.0E-01 1.3E-01 8.2E-02 5.1E-02 3.4E-02 2.2E-02
 1.4E-02 9.4E-03 6.4E-03 4.6E-03 3.2E-03 2.4E-03 1.8E-03 1.4E-03 1.1E-03 8.6E-04 7.0E-04 5.8E-04 4.8E-04 4.1E-04 3.5E-04 3.0E-04 2.6E-04
 7.1E+00 6.7E+00 5.7E+00 4.8E+00 4.2E+00 3.2E+00 2.4E+00 1.7E+00 1.1E+00 7.2E-01 4.7E-01 3.0E-01 1.9E-01 1.3E-01 7.9E-02 5.3E-02 3.4E-02
 2.3E-02 1.5E-02 1.0E-02 7.5E-03 5.4E-03 4.0E-03 3.0E-03 2.4E-03 1.9E-03 1.5E-03 1.2E-03 1.0E-03 8.5E-04 7.2E-04 6.1E-04 5.3E-04 4.6E-04
 1.0E+01 9.4E+00 8.0E+00 6.8E+00 6.0E+00 4.6E+00 3.4E+00 2.4E+00 1.6E+00 1.1E+00 6.9E-01 4.4E-01 2.9E-01 1.9E-01 1.2E-01 8.1E-02 5.3E-02
 3.5E-02 2.4E-02 1.7E-02 1.2E-02 8.9E-03 6.6E-03 5.1E-03 3.9E-03 3.1E-03 2.5E-03 2.1E-03 1.7E-03 1.5E-03 1.2E-03 1.1E-03 9.1E-04 7.9E-04
 1.4E+01 1.3E+01 1.1E+01 9.5E+00 8.3E+00 6.4E+00 4.8E+00 3.4E+00 2.3E+00 1.5E+00 9.9E-01 6.5E-01 4.2E-01 2.8E-01 1.8E-01 1.2E-01 8.1E-02
 5.5E-02 3.7E-02 2.6E-02 1.9E-02 1.4E-02 1.1E-02 8.3E-03 6.5E-03 5.2E-03 4.2E-03 3.5E-03 2.9E-03 2.5E-03 2.1E-03 1.8E-03 1.5E-03 1.3E-03
 1.9E+01 1.8E+01 1.5E+01 1.3E+01 1.1E+01 8.9E+00 6.7E+00 4.7E+00 3.3E+00 2.2E+00 1.4E+00 9.4E-01 6.1E-01 4.1E-01 2.7E-01 1.8E-01 1.2E-01
 8.3E-02 5.7E-02 4.1E-02 3.0E-02 2.2E-02 1.7E-02 1.3E-02 1.0E-02 8.4E-03 6.8E-03 5.7E-03 4.8E-03 4.1E-03 3.4E-03 2.9E-03 2.6E-03 2.2E-03
 2.5E+01 2.4E+01 2.1E+01 1.8E+01 1.6E+01 1.2E+01 9.2E+00 6.5E+00 4.5E+00 3.0E+00 2.0E+00 1.3E+00 8.7E-01 5.9E-01 3.9E-01 2.7E-01 1.8E-01
 1.2E-01 8.6E-02 6.2E-02 4.6E-02 3.5E-02 2.7E-02 2.1E-02 1.7E-02 1.3E-02 1.1E-02 9.1E-03 7.7E-03 6.6E-03 5.6E-03 4.8E-03 4.2E-03 3.6E-03
 3.4E+01 3.2E+01 2.8E+01 2.4E+01 2.1E+01 1.6E+01 1.2E+01 9.0E+00 6.2E+00 4.2E+00 2.8E+00 1.9E+00 1.2E+00 8.4E-01 5.6E-01 3.9E-01 2.6E-01
 1.8E-01 1.3E-01 9.4E-02 7.0E-02 5.3E-02 4.1E-02 3.2E-02 2.6E-02 2.1E-02 1.7E-02 1.4E-02 1.2E-02 1.0E-02 8.9E-03 7.7E-03 6.7E-03 5.8E-03
 4.5E+01 4.2E+01 3.6E+01 3.2E+01 2.8E+01 2.2E+01 1.7E+01 1.2E+01 8.5E+00 5.7E+00 3.8E+00 2.6E+00 1.7E+00 1.2E+00 7.9E-01 5.5E-01 3.8E-01
 2.7E-01 1.9E-01 1.4E-01 1.1E-01 8.0E-02 6.3E-02 4.9E-02 3.9E-02 3.2E-02 2.7E-02 2.2E-02 1.9E-02 1.6E-02 1.4E-02 1.2E-02 1.0E-02 9.2E-03
 5.8E+01 5.5E+01 4.8E+01 4.2E+01 3.7E+01 2.9E+01 2.2E+01 1.6E+01 1.1E+01 7.8E+00 5.2E+00 3.6E+00 2.4E+00 1.7E+00 1.1E+00 7.8E-01 5.4E-01
 3.8E-01 2.8E-01 2.0E-01 1.6E-01 1.2E-01 9.4E-02 7.4E-02 6.0E-02 4.9E-02 4.0E-02 3.4E-02 2.9E-02 2.5E-02 2.1E-02 1.9E-02 1.6E-02 1.4E-02
 7.6E+01 7.2E+01 6.2E+01 5.4E+01 4.8E+01 3.8E+01 2.9E+01 2.1E+01 1.5E+01 1.0E+01 7.1E+00 4.8E+00 3.3E+00 2.3E+00 1.5E+00 1.1E+00 7.7E-01
 5.5E-01 3.9E-01 2.9E-01 2.3E-01 1.7E-01 1.4E-01 1.1E-01 8.9E-02 7.3E-02 6.1E-02 5.1E-02 4.4E-02 3.8E-02 3.3E-02 2.8E-02 2.5E-02 2.2E-02
 9.7E+01 9.2E+01 8.0E+01 7.0E+01 6.2E+01 4.9E+01 3.8E+01 2.8E+01 2.0E+01 1.4E+01 9.4E+00 6.5E+00 4.4E+00 3.1E+00 2.1E+00 1.5E+00 1.1E+00
 7.7E-01 5.6E-01 4.2E-01 3.3E-01 2.5E-01 2.0E-01 1.6E-01 1.3E-01 1.1E-01 9.0E-02 7.6E-02 6.5E-02 5.7E-02 4.9E-02 4.2E-02 3.7E-02 3.3E-02
 1.2E+02 1.2E+02 1.0E+02 8.9E+01 7.9E+01 6.3E+01 4.9E+01 3.6E+01 2.6E+01 1.8E+01 1.3E+01 8.6E+00 5.9E+00 4.2E+00 2.9E+00 2.1E+00 1.5E+00
 1.1E+00 7.9E-01 5.9E-01 4.6E-01 3.6E-01 2.9E-01 2.3E-01 1.9E-01 1.6E-01 1.3E-01 1.1E-01 9.6E-02 8.4E-02 7.2E-02 6.3E-02 5.5E-02 4.9E-02
