 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-003  CO2 =   4.000000000000000E-004
 
    CH4 =   1.053742436698481E-006
 Standard CH3CL flux =  2.800E+08

 PO2= 1.273E-03  PNO= 3.670E-03  ZAPNO= 3.777E+03
 N= 4     X= 1.56518E-01  ERR= 4.16788E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  9.95E+06 5.43E-15 4.34E-03 3.72E-10 1.23E-14 3.49E-16 3.20E-22 3.39E-11 7.14E-07 2.71E-06 8.19E-13 6.75E-05 4.24E-25
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 7.56E-12 9.12E-09 4.55E-13 8.80E-13 3.15E-15 6.49E-12 2.02E-14 2.45E-16 1.59E-19 1.49E-22 3.62E-10 1.33E-13
  1.50E+05 8.32E-12 9.08E-09 5.22E-13 1.00E-12 4.14E-15 9.92E-12 5.27E-14 3.66E-16 4.39E-19 5.63E-22 3.51E-10 1.85E-13
  2.50E+05 9.14E-12 9.03E-09 5.82E-13 1.15E-12 5.28E-15 1.43E-11 1.43E-13 5.89E-16 1.37E-18 3.13E-21 3.41E-10 3.02E-13
  3.50E+05 9.33E-12 8.98E-09 6.73E-13 1.36E-12 6.41E-15 1.86E-11 3.94E-13 9.14E-16 4.61E-18 2.01E-20 3.31E-10 5.06E-13
  7.50E+05 6.49E-12 8.73E-09 1.01E-12 1.91E-12 7.86E-15 2.40E-11 6.87E-12 2.65E-15 2.42E-16 1.61E-17 3.03E-10 2.36E-12
  1.15E+06 1.45E-12 8.22E-09 3.29E-12 3.79E-12 1.36E-14 1.83E-11 8.69E-12 8.01E-15 7.74E-15 6.25E-15 2.91E-10 2.87E-12
  1.55E+06 3.49E-12 4.42E-09 3.23E-12 7.50E-12 1.72E-14 2.10E-11 5.48E-12 5.67E-14 3.86E-14 3.04E-13 1.94E-10 2.78E-11
  1.95E+06 5.03E-12 8.31E-10 7.62E-12 1.08E-11 7.63E-14 2.45E-11 2.53E-12 6.99E-14 1.78E-14 5.93E-13 6.02E-11 8.68E-11
  2.35E+06 5.17E-12 1.17E-10 1.24E-11 6.66E-12 1.97E-13 1.52E-11 3.06E-13 2.47E-14 1.08E-15 2.29E-13 1.14E-11 7.60E-11
  2.75E+06 4.28E-12 2.39E-11 1.35E-11 2.46E-12 1.83E-13 4.15E-12 3.27E-14 5.11E-15 2.93E-17 3.53E-14 2.03E-12 4.08E-11
  3.15E+06 3.29E-12 6.50E-12 1.12E-11 7.62E-13 9.55E-14 7.87E-13 4.53E-15 8.96E-16 6.25E-19 3.69E-15 4.28E-13 2.23E-11
  3.55E+06 2.24E-12 1.91E-12 9.11E-12 3.25E-13 4.48E-14 1.92E-13 1.00E-15 1.98E-16 2.31E-20 2.64E-16 1.13E-13 1.11E-11
  3.95E+06 1.30E-12 6.03E-13 8.11E-12 2.22E-13 2.16E-14 7.08E-14 3.63E-16 6.45E-17 2.00E-21 1.19E-17 3.91E-14 4.38E-12
  4.35E+06 5.75E-13 2.05E-13 7.62E-12 2.32E-13 1.21E-14 4.34E-14 2.20E-16 3.36E-17 4.11E-22 3.53E-19 1.71E-14 1.61E-12
  4.75E+06 1.97E-13 7.25E-14 7.32E-12 2.58E-13 7.06E-15 2.87E-14 1.44E-16 2.05E-17 1.01E-22 1.05E-20 9.05E-15 6.00E-13
  5.15E+06 5.59E-14 2.38E-14 7.12E-12 2.05E-13 3.49E-15 1.17E-14 5.75E-17 8.06E-18 1.08E-23 5.02E-22 5.70E-15 2.21E-13
