 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-004  CO2 =   4.000000000000000E-004
 
    CH4 =   1.013654577153145E-008
 Low CH3CL flux      =  9.733E+06

 PO2= 7.853E-04  PNO= 2.886E-03  ZAPNO= 3.050E+02
 N= 3     X= 1.25804E-01  ERR= 2.35642E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 4.39E-13 5.03E-10 1.51E-14 1.96E-13 2.26E-14 1.31E-11 2.80E-13 2.32E-14 9.13E-18 5.30E-23 3.89E-14 3.70E-13
  3.50E+05 3.13E-13 4.71E-10 3.11E-14 2.92E-13 3.70E-14 1.65E-11 5.39E-13 2.84E-14 3.05E-17 1.78E-22 1.98E-14 4.02E-13
  7.50E+05 1.20E-13 3.66E-10 3.07E-13 8.99E-13 1.13E-13 2.39E-11 1.81E-12 2.54E-14 8.83E-16 1.74E-20 4.21E-15 4.85E-13
  1.15E+06 2.03E-14 2.70E-10 4.35E-12 3.39E-12 1.87E-13 1.60E-11 2.95E-12 8.81E-15 2.61E-15 1.43E-17 3.08E-15 3.80E-13
  1.55E+06 2.32E-14 5.93E-11 5.43E-12 2.08E-12 4.36E-13 1.19E-11 4.03E-13 1.40E-14 8.44E-16 7.93E-18 6.35E-16 3.71E-13
  1.95E+06 1.15E-14 1.02E-11 5.14E-12 6.57E-13 4.23E-13 3.39E-12 3.76E-14 4.50E-15 3.26E-17 2.56E-18 2.39E-17 2.74E-13
  2.35E+06 5.65E-15 2.46E-12 3.53E-12 2.95E-13 1.76E-13 1.04E-12 8.59E-15 1.19E-15 1.74E-18 3.00E-19 1.08E-18 1.51E-13
  2.75E+06 3.36E-15 6.47E-13 2.73E-12 1.83E-13 6.98E-14 3.94E-13 2.85E-15 3.72E-16 1.49E-19 1.48E-20 1.04E-19 5.34E-14
  3.15E+06 2.14E-15 1.82E-13 2.35E-12 1.25E-13 2.82E-14 1.48E-13 9.98E-16 1.18E-16 1.37E-20 4.82E-22 1.81E-20 1.46E-14
  3.55E+06 1.20E-15 5.38E-14 2.13E-12 8.97E-14 1.15E-14 5.33E-14 3.54E-16 3.73E-17 1.25E-21 1.40E-23 4.81E-21 3.71E-15
  3.95E+06 4.65E-16 1.66E-14 1.97E-12 7.51E-14 5.07E-15 2.26E-14 1.62E-16 1.47E-17 1.62E-22 3.69E-25 1.80E-21 1.04E-15
  4.35E+06 1.16E-16 4.99E-15 1.85E-12 5.88E-14 2.13E-15 8.34E-15 6.96E-17 5.47E-18 1.80E-23 1.18E-26 8.98E-22 3.20E-16
  4.75E+06 2.17E-17 1.40E-15 1.73E-12 2.68E-14 6.73E-16 1.38E-15 1.38E-17 1.38E-18 7.64E-25 3.75E-28 5.77E-22 7.04E-17
  5.15E+06 2.64E-18 4.06E-16 1.57E-12 3.69E-15 1.27E-16 4.81E-17 4.14E-19 2.34E-19 6.50E-27 8.30E-30 4.40E-22 5.25E-18
  5.55E+06 1.17E-19 1.76E-16 1.37E-12 1.38E-16 9.39E-18 3.14E-19 1.17E-21 1.72E-20 7.34E-30 6.96E-31 3.71E-22 8.16E-20
  5.95E+06 2.52E-20 2.15E-16 1.15E-12 5.14E-17 4.34E-19 3.93E-21 6.90E-24 4.53E-21 1.71E-31 1.37E-31 3.30E-22 3.03E-22
  6.35E+06 1.83E-20 2.68E-16 9.55E-13 2.35E-17 3.40E-20 1.74E-22 1.44E-25 1.14E-21 6.31E-33 1.05E-32 3.04E-22 6.07E-24
  6.75E+06 1.75E-20 3.09E-16 7.93E-13 1.06E-17 2.52E-21 8.93E-24 4.47E-27 2.78E-22 2.21E-34 4.37E-34 2.88E-22 2.26E-25
  7.15E+06 1.74E-20 3.39E-16 6.69E-13 4.84E-18 1.72E-22 4.99E-25 1.78E-28 6.85E-23 8.03E-36 1.20E-35 2.76E-22 1.16E-26
  7.55E+06 1.73E-20 3.45E-16 5.68E-13 2.22E-18 1.08E-23 2.82E-26 7.69E-30 1.69E-23 2.83E-37 2.51E-37 2.66E-22 6.75E-28
  7.95E+06 1.71E-20 3.28E-16 4.72E-13 9.95E-19 6.33E-25 1.37E-27 3.18E-31 4.05E-24 9.12E-39 4.22E-39 2.56E-22 3.94E-29
  8.35E+06 1.69E-20 2.98E-16 3.87E-13 4.39E-19 3.87E-26 6.24E-29 1.32E-32 9.51E-25 2.82E-40 6.12E-41 2.45E-22 2.35E-30
  8.75E+06 1.64E-20 2.65E-16 3.13E-13 1.91E-19 3.16E-27 2.85E-30 5.55E-34 2.18E-25 8.37E-42 8.08E-43 2.31E-22 1.41E-31
  9.15E+06 1.56E-20 2.32E-16 2.53E-13 8.30E-20 4.42E-28 1.44E-31 2.37E-35 4.88E-26 2.43E-43 1.00E-44 2.13E-22 8.36E-33
  9.55E+06 1.43E-20 2.02E-16 2.10E-13 3.68E-20 9.55E-29 9.29E-33 1.03E-36 1.09E-26 7.15E-45 1.15E-46 1.91E-22 4.62E-34
  9.95E+06 1.25E-20 1.75E-16 1.89E-13 1.76E-20 2.61E-29 1.10E-33 5.40E-38 2.54E-27 2.63E-46 1.20E-48 1.62E-22 2.28E-35
     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    

     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     
  5.00E+04 1.99E-16 2.87E-15 2.34E-13 6.87E-17 2.10E-04 2.31E-14 1.33E-16 4.31E-17 3.82E-13 6.34E-12 6.62E-16 4.00E-04
  1.50E+05 2.34E-16 4.04E-15 2.24E-13 1.48E-16 2.15E-04 2.16E-14 1.28E-16 6.40E-17 4.65E-13 8.97E-12 8.04E-16 4.05E-04
  2.50E+05 2.36E-16 5.37E-15 1.91E-13 2.99E-16 2.19E-04 2.12E-14 1.16E-16 9.81E-17 5.84E-13 1.09E-11 1.02E-15 4.09E-04
  3.50E+05 2.12E-16 7.08E-15 1.54E-13 5.67E-16 2.23E-04 2.30E-14 1.01E-16 1.60E-16 7.83E-13 1.26E-11 1.39E-15 4.13E-04
  7.50E+05 6.68E-17 1.95E-14 4.42E-14 3.70E-15 2.37E-04 6.86E-14 3.88E-17 1.53E-15 3.48E-12 1.98E-11 6.01E-15 4.27E-04
  1.15E+06 4.14E-17 9.80E-14 2.61E-14 4.64E-14 2.40E-04 5.05E-16 2.16E-20 8.90E-16 6.44E-13 1.47E-12 2.01E-17 4.30E-04
  1.55E+06 2.12E-16 1.42E-13 3.30E-14 7.38E-15 2.40E-04 4.23E-25 7.77E-29 4.95E-21 1.54E-18 2.50E-17 1.01E-26 4.30E-04
  1.95E+06 1.77E-15 1.63E-13 1.15E-13 5.84E-16 2.40E-04 1.13E-29 2.72E-30 3.89E-22 5.33E-20 6.23E-18 7.23E-29 4.30E-04
  2.35E+06 5.45E-15 1.05E-13 2.92E-13 4.67E-17 2.40E-04 9.49E-29 2.77E-29 8.41E-22 8.23E-20 6.19E-18 2.05E-28 4.30E-04
  2.75E+06 8.83E-15 4.35E-14 4.48E-13 3.44E-18 2.40E-04 5.46E-28 1.77E-28 1.84E-21 1.42E-19 6.13E-18 5.62E-28 4.30E-04
  3.15E+06 1.06E-14 1.45E-14 5.14E-13 2.30E-19 2.40E-04 2.00E-27 7.32E-28 4.27E-21 2.62E-19 6.00E-18 1.66E-27 4.30E-04
  3.55E+06 1.13E-14 4.60E-15 5.34E-13 1.51E-20 2.40E-04 5.91E-27 2.44E-27 1.04E-20 5.03E-19 5.74E-18 5.62E-27 4.30E-04
  3.95E+06 1.08E-14 1.39E-15 5.40E-13 1.11E-21 2.41E-04 2.03E-26 8.47E-27 2.26E-20 9.31E-19 5.29E-18 2.07E-26 4.29E-04
  4.35E+06 9.80E-15 4.61E-16 5.42E-13 8.38E-23 2.41E-04 6.57E-26 2.74E-26 5.17E-20 1.74E-18 4.43E-18 8.11E-26 4.29E-04
  4.75E+06 9.29E-15 1.53E-16 5.43E-13 3.68E-24 2.42E-04 9.83E-26 5.20E-26 1.45E-19 3.02E-18 3.05E-18 2.86E-25 4.27E-04
  5.15E+06 1.27E-14 4.22E-17 5.40E-13 4.01E-26 2.44E-04 2.80E-26 4.04E-26 5.24E-19 3.95E-18 1.73E-18 5.87E-25 4.21E-04
  5.55E+06 3.90E-14 2.27E-17 5.13E-13 1.37E-28 2.49E-04 4.97E-28 5.70E-27 2.08E-18 3.12E-18 9.85E-19 3.81E-25 4.10E-04
  5.95E+06 1.19E-13 1.87E-17 4.33E-13 2.23E-30 2.48E-04 1.43E-31 4.01E-29 1.88E-18 3.62E-18 6.65E-19 2.26E-26 3.97E-04
  6.35E+06 1.95E-13 9.59E-18 3.57E-13 7.41E-32 2.32E-04 2.17E-34 2.01E-30 1.82E-18 3.82E-18 5.07E-19 3.62E-27 3.86E-04
  6.75E+06 2.54E-13 3.62E-18 2.97E-13 3.01E-33 2.01E-04 3.51E-36 3.40E-31 2.42E-18 3.30E-18 4.06E-19 1.25E-27 3.74E-04
  7.15E+06 2.96E-13 1.11E-18 2.54E-13 1.37E-34 1.64E-04 1.79E-37 1.08E-31 3.46E-18 2.29E-18 3.37E-19 6.07E-28 3.64E-04
  7.55E+06 3.29E-13 2.95E-19 2.20E-13 6.41E-36 1.26E-04 1.45E-38 4.29E-32 4.51E-18 1.26E-18 2.84E-19 3.13E-28 3.53E-04
  7.95E+06 3.57E-13 7.06E-20 1.89E-13 2.86E-37 9.17E-05 1.33E-39 1.87E-32 5.19E-18 5.56E-19 2.38E-19 1.55E-28 3.40E-04
  8.35E+06 3.81E-13 1.57E-20 1.63E-13 1.23E-38 6.41E-05 1.39E-40 9.05E-33 5.47E-18 2.10E-19 1.95E-19 7.52E-29 3.24E-04
  8.75E+06 3.98E-13 3.33E-21 1.40E-13 5.11E-40 4.39E-05 1.61E-41 4.91E-33 5.46E-18 7.19E-20 1.56E-19 3.60E-29 3.07E-04
  9.15E+06 4.06E-13 6.84E-22 1.20E-13 2.01E-41 2.99E-05 2.00E-42 2.90E-33 5.24E-18 2.35E-20 1.18E-19 1.68E-29 2.85E-04
  9.55E+06 4.04E-13 1.35E-22 1.05E-13 7.45E-43 2.02E-05 2.49E-43 1.78E-33 4.82E-18 7.61E-21 8.17E-20 7.46E-30 2.58E-04
  9.95E+06 3.88E-13 2.52E-23 9.51E-14 2.81E-44 1.32E-05 3.64E-44 1.05E-33 4.19E-18 2.83E-21 4.95E-20 3.05E-30 2.24E-04
     Z        CL       CLO      HCL      CLONO2   O2       H2S      HS       SO       SO2      H2SO4    HSO      CO2     


 MIXING RATIO OF AEROSOL

     Z      SO4AER
  5.00E+04 1.27E-10
  1.50E+05 1.49E-10
  2.50E+05 1.97E-10
  3.50E+05 2.54E-10
  7.50E+05 4.94E-10
  1.15E+06 5.69E-10
  1.55E+06 4.85E-10
  1.95E+06 3.13E-10
  2.35E+06 2.05E-10
  2.75E+06 1.40E-10
  3.15E+06 8.80E-11
  3.55E+06 4.85E-11
  3.95E+06 2.32E-11
  4.35E+06 9.40E-12
  4.75E+06 3.10E-12
  5.15E+06 7.49E-13
  5.55E+06 1.30E-13
  5.95E+06 1.51E-14
  6.35E+06 1.09E-15
  6.75E+06 4.01E-17
  7.15E+06 5.83E-19
  7.55E+06 6.27E-22
  7.95E+06 1.98E-27
  8.35E+06 1.29E-37
  8.75E+06 1.81E-56
  9.15E+06 2.52E-91
  9.55E+06 1.00-100
  9.95E+06 1.00-100


 PHOTOLYSIS RATES

     Z       PO2      PO2D     PCO2     PCO2D    PH2O     PO3      PO3D     PH2O2    PHCO     PH2      PHO2
   5.00E+04 1.04E-10 0.00E+00 1.39E-11 0.00E+00 1.36E-09 2.13E-04 1.24E-04 7.27E-06 1.62E-05 1.78E-05 3.54E-05
   3.50E+05 1.20E-10 0.00E+00 1.82E-11 0.00E+00 1.99E-09 2.34E-04 1.59E-04 8.63E-06 2.05E-05 2.17E-05 3.71E-05
   6.50E+05 1.42E-10 0.00E+00 2.44E-11 0.00E+00 3.11E-09 2.51E-04 1.80E-04 9.72E-06 2.36E-05 2.46E-05 3.97E-05
   9.50E+05 1.83E-10 1.41-138 3.55E-11 6.76-138 5.67E-09 2.68E-04 2.03E-04 1.10E-05 2.62E-05 2.71E-05 4.65E-05
   1.25E+06 2.87E-10 2.39E-80 6.24E-11 1.15E-79 1.32E-08 2.93E-04 2.97E-04 1.42E-05 2.96E-05 2.98E-05 7.15E-05
   1.55E+06 5.04E-10 6.34E-54 1.15E-10 3.04E-53 3.12E-08 3.60E-04 8.11E-04 2.27E-05 3.43E-05 3.29E-05 1.41E-04
