     zkm      totH2O    totH      totH2    totCH4    tothyd
  7.350E+01 6.441E-07 4.293E-07 2.996E-06 1.135E-08 4.080E-06
  7.450E+01 5.630E-07 5.042E-07 2.998E-06 9.983E-09 4.075E-06
  7.550E+01 4.904E-07 5.717E-07 2.998E-06 8.758E-09 4.069E-06
  7.650E+01 4.259E-07 6.318E-07 2.998E-06 7.669E-09 4.063E-06
  7.750E+01 3.687E-07 6.847E-07 2.997E-06 6.703E-09 4.057E-06
  7.850E+01 3.182E-07 7.312E-07 2.996E-06 5.850E-09 4.051E-06
  7.950E+01 2.739E-07 7.716E-07 2.994E-06 5.098E-09 4.045E-06
  8.050E+01 2.354E-07 8.064E-07 2.992E-06 4.442E-09 4.038E-06
  8.150E+01 2.020E-07 8.363E-07 2.990E-06 3.872E-09 4.032E-06
  8.250E+01 1.731E-07 8.619E-07 2.988E-06 3.375E-09 4.026E-06
  8.350E+01 1.482E-07 8.839E-07 2.986E-06 2.945E-09 4.021E-06
  8.450E+01 1.267E-07 9.027E-07 2.984E-06 2.571E-09 4.016E-06
  8.550E+01 1.083E-07 9.189E-07 2.982E-06 2.248E-09 4.011E-06
  8.650E+01 9.256E-08 9.329E-07 2.980E-06 1.968E-09 4.007E-06
  8.750E+01 7.900E-08 9.449E-07 2.978E-06 1.724E-09 4.003E-06
  8.850E+01 6.740E-08 9.553E-07 2.975E-06 1.513E-09 4.000E-06
  8.950E+01 5.750E-08 9.643E-07 2.973E-06 1.331E-09 3.996E-06
  9.050E+01 4.909E-08 9.722E-07 2.970E-06 1.173E-09 3.993E-06
  9.150E+01 4.192E-08 9.789E-07 2.967E-06 1.036E-09 3.989E-06
  9.250E+01 3.587E-08 9.844E-07 2.962E-06 9.176E-10 3.983E-06
  9.350E+01 3.078E-08 9.890E-07 2.956E-06 8.161E-10 3.977E-06
  9.450E+01 2.653E-08 9.925E-07 2.949E-06 7.294E-10 3.969E-06
  9.550E+01 2.302E-08 9.949E-07 2.940E-06 6.559E-10 3.959E-06
  9.650E+01 2.016E-08 9.963E-07 2.929E-06 5.943E-10 3.946E-06
  9.750E+01 1.788E-08 9.964E-07 2.915E-06 5.434E-10 3.930E-06
  9.850E+01 1.613E-08 9.950E-07 2.898E-06 5.023E-10 3.910E-06
  9.950E+01 1.486E-08 9.919E-07 2.877E-06 4.703E-10 3.884E-06
