 Gaussian points = 8
 FIXED SPECIES MIXING RATIOS:
    O2 =   2.100000000000000E-002  CO2 =   4.000000000000000E-004
 
    CH4 =   2.515160117354389E-006
 Standard CH3CL flux =  2.800E+08

 PO2= 9.350E-03  PNO= 9.853E-03  ZAPNO= 1.041E+03
 N= 4     X= 3.45876E-01  ERR= 2.88067E-07

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  
  2.50E+05 5.60E-12 8.77E-08 3.01E-12 6.02E-12 1.10E-14 3.75E-11 6.62E-13 1.64E-15 1.99E-17 2.26E-22 6.60E-10 7.83E-14
  3.50E+05 4.94E-12 8.77E-08 3.77E-12 6.92E-12 1.36E-14 4.83E-11 1.77E-12 1.83E-15 4.71E-17 6.12E-22 6.49E-10 8.47E-14
  7.50E+05 2.81E-12 8.74E-08 4.71E-12 5.58E-12 1.21E-14 6.42E-11 2.38E-11 1.48E-15 4.02E-16 1.02E-19 6.16E-10 1.94E-13
  1.15E+06 8.68E-13 8.67E-08 7.98E-12 5.01E-12 1.69E-14 6.91E-11 3.10E-11 1.67E-15 3.91E-15 4.06E-17 6.05E-10 3.12E-13
  1.55E+06 1.51E-12 7.67E-08 1.25E-11 2.45E-11 2.22E-14 2.34E-10 3.49E-11 3.98E-14 2.19E-13 1.52E-14 5.02E-10 3.94E-12
  1.95E+06 2.91E-12 4.95E-08 2.78E-11 9.49E-11 5.33E-14 5.37E-10 7.43E-11 2.60E-13 2.12E-12 1.43E-13 2.95E-10 3.17E-11
  2.35E+06 3.83E-12 2.37E-08 8.35E-11 2.36E-10 2.06E-13 6.59E-10 8.45E-11 4.72E-13 2.80E-12 2.22E-13 1.38E-10 1.06E-10
  2.75E+06 5.55E-12 9.11E-09 2.13E-10 3.42E-10 7.10E-13 5.58E-10 3.44E-11 4.35E-13 9.09E-13 1.74E-13 5.29E-11 1.85E-10
  3.15E+06 7.92E-12 3.05E-09 4.05E-10 2.46E-10 1.73E-12 2.89E-10 4.47E-12 2.27E-13 8.40E-14 8.10E-14 1.59E-11 1.54E-10
  3.55E+06 1.08E-11 9.92E-10 5.10E-10 8.26E-11 1.60E-12 5.19E-11 3.12E-13 5.53E-14 1.85E-15 8.52E-15 3.95E-12 5.46E-11
  3.95E+06 1.00E-11 3.49E-10 3.88E-10 1.83E-11 7.03E-13 5.74E-12 2.80E-14 9.36E-15 2.74E-17 1.14E-15 1.22E-12 2.19E-11
  4.35E+06 7.20E-12 1.42E-10 2.64E-10 4.63E-12 2.77E-13 7.92E-13 3.71E-15 1.63E-15 5.59E-19 1.50E-16 5.69E-13 1.08E-11
  4.75E+06 4.61E-12 6.64E-11 1.97E-10 1.98E-12 1.17E-13 1.84E-13 8.78E-16 3.91E-16 2.47E-20 1.20E-17 3.50E-13 5.18E-12
  5.15E+06 2.44E-12 3.38E-11 1.70E-10 1.67E-12 6.14E-14 9.21E-14 4.41E-16 1.57E-16 3.28E-21 5.89E-19 2.51E-13 2.39E-12
  5.55E+06 1.13E-12 1.79E-11 1.63E-10 2.32E-12 4.10E-14 8.52E-14 3.95E-16 9.80E-17 1.01E-21 1.77E-20 1.99E-13 1.05E-12
  5.95E+06 5.02E-13 9.08E-12 1.61E-10 2.73E-12 2.60E-14 6.26E-14 2.73E-16 5.90E-17 2.43E-22 5.27E-22 1.69E-13 4.04E-13
  6.35E+06 2.48E-13 4.04E-12 1.60E-10 1.94E-12 1.25E-14 2.25E-14 8.97E-17 2.02E-17 1.85E-23 1.79E-23 1.52E-13 1.23E-13
