 SOLAR ZENITH ANGLE (deg) =    48.2000000000000     
 FIXED SPECIES MIXING RATIOS:
    O2 =   0.210000000000000       CO2 =   4.000000000000000E-004
 
    CH4 =   1.600000000000082E-006
 Standard CH3CL flux =  0.000E+00

 PO2= 1.517E-01  PNO= 3.565E-02  ZAPNO= 3.768E+03
 N= 3     X= 6.98377E-01  ERR= 1.04174E-06

 TIME = 0.0000E+00     TIMEY =   0.0000E+00 YEARS

 NPHOT =  0

 MIXING RATIOS OF LONG-LIVED SPECIES


  9.95E+06 1.24E-11 1.48E-02 5.07E-07 1.97E-11 7.28E-13 1.26E-14 1.42E-07 5.65E-06 3.40E-06 6.94E-09 5.89E-06 6.36E-18
     Z        H2CO     O        H2O      OH       HO2      H2O2     O3       H        H2       CH4      CO       CH3OOH  

     Z        CH3O2    N2O      NO       NO2      HNO2     HNO3     HO2NO2   NO3      N2O5     CL2O2    CH3CL    HOCL    
  5.00E+04 6.77E-12 3.00E-07 3.17E-12 9.98E-12 1.75E-14 6.54E-11 1.48E-13 4.86E-15 2.93E-17 6.46E-23 5.00E-10 1.07E-13
  1.50E+05 6.28E-12 3.00E-07 4.12E-12 1.16E-11 2.36E-14 9.99E-11 3.74E-13 5.37E-15 6.05E-17 1.54E-22 4.89E-10 1.16E-13
  2.50E+05 5.63E-12 3.00E-07 5.34E-12 1.37E-11 3.15E-14 1.44E-10 9.73E-13 6.16E-15 1.35E-16 4.06E-22 4.79E-10 1.26E-13
  3.50E+05 4.72E-12 3.00E-07 7.11E-12 1.64E-11 4.18E-14 1.89E-10 2.57E-12 7.01E-15 3.29E-16 1.10E-21 4.70E-10 1.32E-13
  7.50E+05 1.60E-12 3.00E-07 1.47E-11 1.74E-11 5.93E-14 2.82E-10 4.93E-11 5.82E-15 5.09E-15 8.15E-20 4.43E-10 1.30E-13
  1.15E+06 2.91E-13 2.99E-07 3.84E-11 2.05E-11 9.66E-14 3.53E-10 4.75E-11 4.97E-15 4.12E-14 2.85E-18 4.35E-10 4.43E-14
  1.55E+06 6.86E-14 2.87E-07 1.28E-10 1.79E-10 8.57E-14 1.50E-09 6.42E-11 2.35E-14 9.58E-13 9.54E-18 3.91E-10 2.00E-14
